#       point_x         point_y         point_z             U_x             U_y             U_z               p
           0.35            0.06          -0.096     -0.27582198      0.13008375    -0.069616887               0
           0.35            0.06            -0.1     -0.10093665     0.060139891    -0.028096905     0.012108407
           0.35           0.064          -0.096     -0.26118305      0.13879202    -0.075931099               0
           0.35           0.064            -0.1    -0.090209851     0.064219848    -0.030797526     0.013640594
           0.35           0.068          -0.096     -0.24317033      0.14667547    -0.082589402               0
           0.35           0.068            -0.1    -0.078049924     0.067985025    -0.033720329     0.015234507
           0.35           0.072          -0.096     -0.22074167      0.15324009    -0.089529945               0
           0.35           0.072            -0.1    -0.064136115      0.07120641    -0.036849574     0.016844586
           0.35           0.076          -0.096     -0.19274517      0.15797391    -0.096598627               0
           0.35           0.076            -0.1    -0.048091196     0.073670555    -0.040108255     0.018428169
           0.35            0.08          -0.096     -0.15763649      0.16040261     -0.10346249               0
           0.35            0.08            -0.1    -0.029346642     0.075255702    -0.043302405     0.019899854
           0.35           0.084          -0.096     -0.11212725      0.15962494     -0.10953221               0
           0.35           0.084            -0.1   -0.0063688235     0.075652957    -0.046226632     0.021066781
           0.35           0.088          -0.096    -0.050225257      0.15250428      -0.1132057               0
           0.35           0.088            -0.1     0.024125886     0.073050926    -0.048198108     0.021972783
           0.35           0.092          -0.096      0.03320178      0.13118465     -0.11053708               0
           0.35           0.092            -0.1     0.063898261     0.062519393    -0.046854668     0.023295104
           0.35           0.096          -0.096      0.15411366     0.096690796    -0.097431949               0
           0.35           0.096            -0.1      0.11410763     0.044096234    -0.039304425     0.026292991
           0.35             0.1            -0.1     0.094844384     0.022523909    -0.022472398     0.037883591
           0.35             0.1          -0.096      0.11394179     0.038932957     -0.04402546     0.026241321
           0.35          -0.096          -0.092     0.035818398     -0.10746626     -0.13318766               0
           0.35            -0.1          -0.092      0.06453667    -0.045260825    -0.062875812     0.023203913
           0.35          -0.092          -0.092     -0.10768593     -0.13907407     -0.14399071               0
           0.35          -0.088          -0.092      -0.1930419     -0.15992948     -0.14619865               0
           0.35          -0.084          -0.092     -0.25192521     -0.16876405     -0.14222826               0
           0.35           -0.08          -0.092     -0.29238742     -0.17143127     -0.13549627               0
           0.35          -0.076          -0.092     -0.32018557      -0.1700248     -0.12766843               0
           0.35          -0.072          -0.092     -0.33874277     -0.16563621     -0.11936958               0
           0.35          -0.068          -0.092     -0.35016441     -0.15905527     -0.11094886               0
           0.35          -0.064          -0.092     -0.35628134      -0.1509169     -0.10261062               0
           0.35           -0.06          -0.092     -0.35880289     -0.14176868    -0.094495587               0
           0.35          -0.056          -0.092     -0.35925887     -0.13206302    -0.086728425               0
           0.35          -0.052          -0.092     -0.35893332     -0.12214314    -0.079432524               0
           0.35          -0.048          -0.092      -0.3588285     -0.11224155    -0.072723196               0
           0.35          -0.044          -0.092     -0.35965701     -0.10249523    -0.066688229               0
           0.35           -0.04          -0.092     -0.36184357    -0.092972278    -0.061383883               0
           0.35          -0.036          -0.092     -0.36554404    -0.083686437    -0.056849394               0
           0.35          -0.032          -0.092     -0.37069982    -0.074606125    -0.053092436               0
           0.35          -0.028          -0.092     -0.37708333     -0.06567315    -0.050075433               0
           0.35          -0.024          -0.092     -0.38432014    -0.056818398    -0.047727609               0
           0.35           -0.02          -0.092     -0.39191858    -0.047972004    -0.045958529               0
           0.35          -0.016          -0.092     -0.39930673    -0.039071816    -0.044667228               0
           0.35          -0.012          -0.092     -0.40587719    -0.030072532    -0.043750882               0
           0.35          -0.008          -0.092     -0.41103356    -0.020944988    -0.043113473               0
           0.35          -0.004          -0.092     -0.41426204    -0.011697101    -0.042689421               0
           0.35               0          -0.092     -0.41513614   -0.0023244875    -0.042451512               0
           0.35           0.004          -0.092     -0.41345548       0.0070981    -0.042412312               0
           0.35           0.008          -0.092     -0.40948195     0.016469455    -0.042613452               0
           0.35           0.012          -0.092      -0.4037568     0.025778765    -0.043094966               0
           0.35           0.016          -0.092     -0.39689078     0.035025009    -0.043916222               0
           0.35            0.02          -0.092     -0.38954629     0.044232838    -0.045164344               0
           0.35           0.024          -0.092     -0.38236799     0.053444226    -0.046930319               0
           0.35           0.028          -0.092     -0.37592879     0.062713243    -0.049300932               0
           0.35           0.032          -0.092     -0.37068428     0.072098473    -0.052353571               0
           0.35           0.036          -0.092     -0.36694007     0.081655219    -0.056150112               0
           0.35            0.04          -0.092     -0.36482879     0.091427042    -0.060724361               0
           0.35           0.044          -0.092     -0.36430029      0.10143195    -0.066065975               0
           0.35           0.048          -0.092     -0.36509499      0.11164326    -0.072128266               0
           0.35           0.052          -0.092     -0.36669237      0.12197947    -0.078845999               0
           0.35           0.056          -0.092      -0.3682896      0.13229085    -0.086123153               0
           0.35            0.06          -0.092     -0.36880693      0.14233346    -0.093833725               0
           0.35           0.064          -0.092     -0.36690074      0.15175264      -0.1018425               0
           0.35           0.068          -0.092     -0.36100219      0.16008368     -0.11001511               0
           0.35           0.072          -0.092     -0.34938536      0.16676661     -0.11820873               0
           0.35           0.076          -0.092     -0.33023008       0.1711574      -0.1262233               0
           0.35            0.08          -0.092     -0.30148749      0.17247893     -0.13374251               0
           0.35           0.084          -0.092     -0.25983189      0.16969651     -0.14022507               0
           0.35           0.088          -0.092     -0.19960729      0.16077511     -0.14413802               0
           0.35           0.092          -0.092     -0.11280499      0.13987366     -0.14221321               0
           0.35           0.096          -0.092     0.032220867      0.10839316     -0.13212587               0
           0.35             0.1          -0.092     0.063121416     0.045795741    -0.062580388     0.023131217
           0.35          -0.096          -0.088    -0.048745511     -0.10919288     -0.15519705               0
           0.35            -0.1          -0.088     0.023864538    -0.046205912    -0.073789388     0.021653923
           0.35          -0.092          -0.088     -0.19484017      -0.1398638     -0.16548914               0
           0.35          -0.088          -0.088     -0.27620061     -0.15977389       -0.166749               0
           0.35          -0.084          -0.088     -0.32805483     -0.16894302     -0.16264371               0
           0.35           -0.08          -0.088     -0.36065943     -0.17248784     -0.15595165               0
           0.35          -0.076          -0.088     -0.37958237     -0.17164599     -0.14780582               0
           0.35          -0.072          -0.088     -0.38791218     -0.16750765     -0.13880001               0
           0.35          -0.068          -0.088     -0.38811414     -0.16096325     -0.12938399               0
           0.35          -0.064          -0.088     -0.38258122     -0.15273018     -0.11985439               0
           0.35           -0.06          -0.088     -0.37355454     -0.14341017     -0.11043695               0
           0.35          -0.056          -0.088     -0.36298861     -0.13348769     -0.10133116               0
           0.35          -0.052          -0.088     -0.35247379     -0.12332393    -0.092716143               0
           0.35          -0.048          -0.088     -0.34321377     -0.11316285     -0.08475376               0
           0.35          -0.044          -0.088     -0.33604894     -0.10314754    -0.077568272               0
           0.35           -0.04          -0.088     -0.33146998    -0.093353473    -0.071225472               0
           0.35          -0.036          -0.088     -0.32959973     -0.08380756    -0.065771903               0
           0.35          -0.032          -0.088     -0.33028128    -0.074494111    -0.061229194               0
