#       point_x         point_y         point_z             U_x             U_y             U_z               p
           0.13          -0.096          -0.096      -0.7458767   -0.0024472833    -0.001308786     -0.25387769
           0.13            -0.1          -0.096               0               0               0     -0.25368978
           0.13            -0.1            -0.1               0               0               0     -0.25349927
           0.13          -0.096            -0.1               0               0               0     -0.25365925
           0.13          -0.092          -0.096      -0.8203662   -0.0054740248   -0.0014925035     -0.25421994
           0.13          -0.092            -0.1               0               0               0     -0.25396753
           0.13          -0.088          -0.096      -0.8251154   -0.0090088231   -0.0013806923     -0.25459164
           0.13          -0.088            -0.1               0               0               0     -0.25433577
           0.13          -0.084          -0.096     -0.80395037    -0.012699143   -0.0010919128     -0.25502299
           0.13          -0.084            -0.1               0               0               0     -0.25477044
           0.13           -0.08          -0.096     -0.77106499    -0.016928228  -0.00071594809     -0.25544067
           0.13           -0.08            -0.1               0               0               0     -0.25519571
           0.13          -0.076          -0.096     -0.73171741    -0.021901602   -0.0001339554     -0.25581282
           0.13          -0.076            -0.1               0               0               0      -0.2555853
           0.13          -0.072          -0.096     -0.68832697    -0.028008414   0.00085161923     -0.25609113
           0.13          -0.072            -0.1               0               0               0     -0.25590024
           0.13          -0.068          -0.096     -0.64266679    -0.035664799    0.0021406673     -0.25624861
           0.13          -0.068            -0.1               0               0               0      -0.2561075
           0.13          -0.064          -0.096     -0.59640755    -0.045346873    0.0038694335     -0.25628385
           0.13          -0.064            -0.1               0               0               0     -0.25619674
           0.13           -0.06          -0.096     -0.55127477    -0.057509967    0.0059979249     -0.25622872
           0.13           -0.06            -0.1               0               0               0     -0.25622993
           0.13          -0.056          -0.096     -0.50836626    -0.072325365    0.0081831782     -0.25615286
           0.13          -0.056            -0.1               0               0               0     -0.25629132
           0.13          -0.052          -0.096     -0.46682842    -0.089193512     0.010275567     -0.25612174
           0.13          -0.052            -0.1               0               0               0     -0.25641471
           0.13          -0.048          -0.096     -0.42249742     -0.10639479      0.01231305     -0.25620694
           0.13          -0.048            -0.1               0               0               0     -0.25659773
           0.13          -0.044          -0.096     -0.36832908     -0.12094406     0.014071925      -0.2564404
           0.13          -0.044            -0.1               0               0               0     -0.25680879
           0.13           -0.04          -0.096     -0.29744552     -0.12933299     0.015415997     -0.25663446
           0.13           -0.04            -0.1               0               0               0     -0.25688756
           0.13          -0.036          -0.096     -0.20733672     -0.12960531       0.0160812      -0.2564003
           0.13          -0.036            -0.1               0               0               0     -0.25649415
           0.13          -0.032          -0.096      -0.1023238      -0.1228125     0.015478236     -0.25548939
           0.13          -0.032            -0.1               0               0               0     -0.25539539
           0.13          -0.028          -0.096    0.0080284121     -0.11237417      0.01364102     -0.25399662
           0.13          -0.028            -0.1               0               0               0     -0.25372871
           0.13          -0.024          -0.096      0.11395971     -0.10090734     0.011747199     -0.25209102
           0.13          -0.024            -0.1               0               0               0     -0.25170874
           0.13           -0.02          -0.096      0.21191024    -0.087872191     0.010556266     -0.25001531
           0.13           -0.02            -0.1               0               0               0     -0.24960817
           0.13          -0.016          -0.096      0.30066993    -0.072058264    0.0097950968      -0.2482204
           0.13          -0.016            -0.1               0               0               0     -0.24793306
           0.13          -0.012          -0.096      0.37664593    -0.053239915    0.0083756717     -0.24719314
           0.13          -0.012            -0.1               0               0               0     -0.24705581
           0.13          -0.008          -0.096      0.43587523    -0.031433664    0.0050039384     -0.24738978
