#       point_x         point_y         point_z             U_x             U_y             U_z               p
            0.1          -0.096          -0.096     -0.75546724    0.0018967461    0.0036560351     -0.28638502
            0.1            -0.1          -0.096               0               0               0     -0.28608071
            0.1            -0.1            -0.1               0               0               0      -0.2857599
            0.1          -0.096            -0.1               0               0               0     -0.28605986
            0.1          -0.092          -0.096     -0.83872196    0.0025198697     0.003340768     -0.28741006
            0.1          -0.092            -0.1               0               0               0     -0.28708291
            0.1          -0.088          -0.096     -0.84660113     0.001878194    0.0034271477     -0.28907334
            0.1          -0.088            -0.1               0               0               0     -0.28877122
            0.1          -0.084          -0.096     -0.82709131   0.00035167101    0.0036099709     -0.29113192
            0.1          -0.084            -0.1               0               0               0     -0.29087159
            0.1           -0.08          -0.096     -0.79567665   -0.0021209872     0.004033558     -0.29348516
            0.1           -0.08            -0.1               0               0               0     -0.29326908
            0.1          -0.076          -0.096     -0.75793866   -0.0057596131    0.0047638266     -0.29604281
            0.1          -0.076            -0.1               0               0               0      -0.2958819
            0.1          -0.072          -0.096     -0.71634877    -0.010861291    0.0061182993     -0.29874595
            0.1          -0.072            -0.1               0               0               0     -0.29866364
            0.1          -0.068          -0.096     -0.67280955    -0.017613079     0.007685906     -0.30159061
            0.1          -0.068            -0.1               0               0               0     -0.30160427
            0.1          -0.064          -0.096     -0.62865523    -0.026098068    0.0089845429     -0.30461464
            0.1          -0.064            -0.1               0               0               0     -0.30470979
            0.1           -0.06          -0.096     -0.58430989    -0.036033393     0.010101631     -0.30786451
            0.1           -0.06            -0.1               0               0               0     -0.30804234
            0.1          -0.056          -0.096     -0.53819651    -0.046535863     0.010953712     -0.31136898
            0.1          -0.056            -0.1               0               0               0     -0.31164694
            0.1          -0.052          -0.096     -0.48540339    -0.056248732     0.011253145     -0.31508906
            0.1          -0.052            -0.1               0               0               0     -0.31547692
            0.1          -0.048          -0.096      -0.4190533    -0.063516954     0.010455192     -0.31886147
            0.1          -0.048            -0.1               0               0               0     -0.31928439
            0.1          -0.044          -0.096     -0.33505731    -0.067000227    0.0085361507     -0.32233308
            0.1          -0.044            -0.1               0               0               0     -0.32266088
            0.1           -0.04          -0.096     -0.23625317    -0.066850189    0.0061810862     -0.32507398
            0.1           -0.04            -0.1               0               0               0     -0.32526672
            0.1          -0.036          -0.096      -0.1301071    -0.064801233    0.0043279099     -0.32677948
            0.1          -0.036            -0.1               0               0               0     -0.32686572
            0.1          -0.032          -0.096    -0.021723476    -0.062258836    0.0037070067     -0.32727051
            0.1          -0.032            -0.1               0               0               0     -0.32728253
            0.1          -0.028          -0.096     0.088698948    -0.060285543    0.0044474769     -0.32657638
            0.1          -0.028            -0.1               0               0               0     -0.32655244
            0.1          -0.024          -0.096      0.20290056     -0.05955433     0.006220574     -0.32469819
            0.1          -0.024            -0.1               0               0               0     -0.32466728
            0.1           -0.02          -0.096      0.31781951     -0.05894052    0.0083698476     -0.32179962
            0.1           -0.02            -0.1               0               0               0      -0.3217979
            0.1          -0.016          -0.096      0.42465076    -0.057193331    0.0094638848     -0.31852679
            0.1          -0.016            -0.1               0               0               0     -0.31854953
            0.1          -0.012          -0.096      0.51388533    -0.053322678    0.0073036993     -0.31560787
            0.1          -0.012            -0.1               0               0               0     -0.31558541
            0.1          -0.008          -0.096      0.57773987    -0.045519855   0.00086137804     -0.31363901
            0.1          -0.008            -0.1               0               0               0     -0.31350337
            0.1          -0.004          -0.096      0.61380317    -0.032371883   -0.0068026992     -0.31300645
            0.1          -0.004            -0.1               0               0               0     -0.31271347
            0.1  -1.9825424e-18          -0.096      0.62290356    -0.015876762   -0.0096069782     -0.31393764
            0.1  -1.9825424e-18            -0.1               0               0               0     -0.31358167
            0.1           0.004          -0.096      0.60171503  -0.00075816528   -0.0039489002     -0.31624534
            0.1           0.004            -0.1               0               0               0     -0.31601288
            0.1           0.008          -0.096      0.54556543    0.0085411424     0.005183253     -0.31952429
            0.1           0.008            -0.1               0               0               0     -0.31947392
            0.1           0.012          -0.096       0.4547966     0.012285522    0.0098301763     -0.32348337
            0.1           0.012            -0.1               0               0               0     -0.32359465
            0.1           0.016          -0.096      0.33598996     0.013924973    0.0089654525      -0.3274661
            0.1           0.016            -0.1               0               0               0     -0.32764217
            0.1            0.02          -0.096      0.20004972     0.015254873    0.0059115712     -0.33062694
            0.1            0.02            -0.1               0               0               0     -0.33075173
            0.1           0.024          -0.096     0.066429032     0.017577456    0.0027283955     -0.33234742
            0.1           0.024            -0.1               0               0               0     -0.33237675
            0.1           0.028          -0.096    -0.047865927     0.021036652  -0.00012648817     -0.33263753
            0.1           0.028            -0.1               0               0               0      -0.3325893
            0.1           0.032          -0.096     -0.14476671     0.024568876   -0.0013344451     -0.33172299
            0.1           0.032            -0.1               0               0               0     -0.33164958
            0.1           0.036          -0.096     -0.23317988     0.027956988  -0.00016309295     -0.32977209
            0.1           0.036            -0.1               0               0               0     -0.32974202
            0.1            0.04          -0.096     -0.31704574      0.03074225    0.0024766641     -0.32700028
            0.1            0.04            -0.1               0               0               0      -0.3271198
            0.1           0.044          -0.096     -0.39446074     0.031559493    0.0055878361     -0.32350693
            0.1           0.044            -0.1               0               0               0     -0.32379801
            0.1           0.048          -0.096     -0.46051359     0.029788858    0.0077966913     -0.31960396
            0.1           0.048            -0.1               0               0               0      -0.3199422
            0.1           0.052          -0.096     -0.51371445     0.025700914    0.0084407864     -0.31564427
            0.1           0.052            -0.1               0               0               0     -0.31590247
            0.1           0.056          -0.096      -0.5581227     0.020117039    0.0081199473     -0.31183909
            0.1           0.056            -0.1               0               0               0     -0.31200021
            0.1            0.06          -0.096     -0.59913168     0.014004596    0.0074804038     -0.30827849
            0.1            0.06            -0.1               0               0               0      -0.3083543
            0.1           0.064          -0.096     -0.64000938     0.008240155    0.0066635973     -0.30496606
            0.1           0.064            -0.1               0               0               0     -0.30496861
            0.1           0.068          -0.096     -0.68153592    0.0033982922    0.0057341243     -0.30185378
            0.1           0.068            -0.1               0               0               0     -0.30178657
