#             x               y               z             U_x             U_y             U_z               p
           0.35          -0.098          -0.098     -0.36243924   -0.0032441915     -0.00444093      -0.1417725
           0.35          -0.098          -0.094     -0.40796206   -0.0033258997    -0.012861724     -0.14192225
           0.35          -0.098           -0.09     -0.41649764   -0.0028317282    -0.024598075     -0.14211908
           0.35          -0.098          -0.086     -0.42294697   -0.0038901665    -0.034026322     -0.14254186
           0.35          -0.098          -0.082     -0.43004816   -0.0055224554    -0.042609773     -0.14296623
           0.35          -0.098          -0.078     -0.43667475   -0.0077128101     -0.04836407     -0.14348598
           0.35          -0.098          -0.074      -0.4417219   -0.0096826442    -0.051620184      -0.1440832
           0.35          -0.098           -0.07      -0.4446209    -0.011049558    -0.052432744     -0.14484662
           0.35          -0.098          -0.066     -0.44524982    -0.011695458    -0.051456604     -0.14573528
           0.35          -0.098          -0.062     -0.44363739    -0.011666027    -0.049327815     -0.14672087
           0.35          -0.098          -0.058     -0.43998099    -0.011123083    -0.046632947     -0.14775462
           0.35          -0.098          -0.054     -0.43452985    -0.010239812    -0.043820268     -0.14877651
           0.35          -0.098           -0.05       -0.427606   -0.0091909731    -0.041179216     -0.14971752
           0.35          -0.098          -0.046     -0.41964722   -0.0079885564    -0.038975126     -0.15054749
           0.35          -0.098          -0.042     -0.41114661   -0.0066203403    -0.037183715     -0.15122374
           0.35          -0.098          -0.038     -0.40110559   -0.0055436819    -0.035833122     -0.15167991
           0.35          -0.098          -0.034     -0.39026709   -0.0045883193     -0.03469143     -0.15188241
           0.35          -0.098           -0.03     -0.37889907   -0.0038431974    -0.033487108     -0.15185578
           0.35          -0.098          -0.026     -0.36734527   -0.0032938184    -0.031980513     -0.15163327
           0.35          -0.098          -0.022      -0.3559688    -0.002936041    -0.029930277     -0.15126235
           0.35          -0.098          -0.018     -0.34515787   -0.0028265979    -0.027129159     -0.15079591
           0.35          -0.098          -0.014     -0.33532682   -0.0030559807    -0.023373327     -0.15029327
           0.35          -0.098           -0.01     -0.32696487   -0.0034118962    -0.018561043     -0.14982296
           0.35          -0.098          -0.006      -0.3205377   -0.0034643267    -0.012882797     -0.14943679
           0.35          -0.098          -0.002     -0.31631284   -0.0033053676   -0.0067872494     -0.14916261
           0.35          -0.098           0.002     -0.31439689   -0.0032582426  -0.00043937367     -0.14901425
           0.35          -0.098           0.006     -0.31498101   -0.0032948955    0.0059350485     -0.14899711
           0.35          -0.098            0.01     -0.31795909   -0.0034502263     0.012088336     -0.14910212
           0.35          -0.098           0.014     -0.32324656   -0.0032790581     0.017856527     -0.14931597
           0.35          -0.098           0.018     -0.33059641   -0.0028819915     0.022725584     -0.14960147
           0.35          -0.098           0.022     -0.33955212   -0.0027041872     0.026585225     -0.14990603
           0.35          -0.098           0.026     -0.34970698    -0.002783174     0.029528648      -0.1501659
           0.35          -0.098            0.03     -0.36065889   -0.0030546361     0.031683998     -0.15032346
           0.35          -0.098           0.034     -0.37201414   -0.0035125255     0.033241887     -0.15032684
