#             x               y               z             U_x             U_y             U_z               p
           0.13          -0.098          -0.098     0.088829233    0.0032107428    0.0017712926     -0.35850979
           0.13          -0.098          -0.094     0.060839727   -0.0026504318     0.010826122     -0.35905854
           0.13          -0.098           -0.09    -0.048191067    0.0056072257      0.02788027     -0.35951995
           0.13          -0.098          -0.086     -0.23682122      0.03009323      0.08564251     -0.35969176
           0.13          -0.098          -0.082     -0.38729878     0.038902263      0.11732988     -0.36118361
           0.13          -0.098          -0.078     -0.44362107     0.033086966      0.12392708     -0.36716471
           0.13          -0.098          -0.074     -0.45724605     0.025576397      0.12051651     -0.37369371
           0.13          -0.098           -0.07     -0.45772054     0.021236946      0.11557073     -0.38000401
           0.13          -0.098          -0.066     -0.45130038     0.018639705      0.11045071     -0.38616876
           0.13          -0.098          -0.062     -0.43951121     0.016737964      0.10497329     -0.39200878
           0.13          -0.098          -0.058     -0.42261402     0.015319021     0.099129311     -0.39740454
           0.13          -0.098          -0.054     -0.40041297     0.014326836     0.092938361     -0.40232691
           0.13          -0.098           -0.05     -0.37253076     0.013671173     0.086347715     -0.40679923
           0.13          -0.098          -0.046     -0.33851031     0.013172677     0.079328602      -0.4108337
           0.13          -0.098          -0.042     -0.29801109     0.012708261     0.071961231     -0.41445176
           0.13          -0.098          -0.038      -0.2510068     0.012379846     0.064540145     -0.41765676
           0.13          -0.098          -0.034     -0.19875815     0.012493776     0.057606809     -0.42037635
           0.13          -0.098           -0.03     -0.14617942     0.013619835     0.052745857     -0.42249156
           0.13          -0.098          -0.026    -0.097697699     0.015490423     0.053199092     -0.42411916
           0.13          -0.098          -0.022    -0.042542614     0.017232791     0.058856347     -0.42575014
           0.13          -0.098          -0.018     0.026703464     0.017826359     0.066379586     -0.42672599
           0.13          -0.098          -0.014      0.15781876      0.01972033      0.08204463     -0.42713513
           0.13          -0.098           -0.01      0.24944165     0.014840428     0.072415287     -0.42788375
           0.13          -0.098          -0.006      0.25816377     0.015430626     0.040504622     -0.42685932
           0.13          -0.098          -0.002      0.27664631    0.0061475393    0.0062578974      -0.4281499
           0.13          -0.098           0.002      0.29444372    -0.013374305    0.0049293306     -0.42845956
           0.13          -0.098           0.006      0.29897011    -0.029370099     0.028774979     -0.42649616
           0.13          -0.098            0.01      0.29747539    -0.031761471     0.065299412     -0.42575984
           0.13          -0.098           0.014      0.29375669    -0.018371126      0.09350147     -0.42693413
           0.13          -0.098           0.018      0.28974265    0.0054144742     0.091217489      -0.4289888
           0.13          -0.098           0.022      0.28697581      0.01738325     0.053961017     -0.43018696
           0.13          -0.098           0.026      0.30321479    0.0090405167   -0.0016706501     -0.43339768
           0.13          -0.098            0.03      0.32264504     0.019153458    -0.057295054     -0.44548388
           0.13          -0.098           0.034       0.2141576     0.047421158      -0.1439096     -0.45521001
           0.13          -0.098           0.038     0.042590817     0.051071538     -0.20214123      -0.4578241
           0.13          -0.098           0.042     -0.10041023     0.045911699     -0.19905938     -0.45013488
           0.13          -0.098           0.046     -0.18496179     0.044935271     -0.18636691     -0.43619677
           0.13          -0.098            0.05     -0.20413219     0.041548643      -0.1681114     -0.42371029
           0.13          -0.098           0.054     -0.23799061     0.038388911     -0.17004354      -0.4112964
           0.13          -0.098           0.058     -0.27570991     0.040989664     -0.17814679      -0.3975521
           0.13          -0.098           0.062     -0.29056752     0.048225929     -0.18282895     -0.38379612
           0.13          -0.098           0.066      -0.2760015     0.053516639     -0.17969873     -0.37137854
           0.13          -0.098            0.07     -0.22636513     0.049048841     -0.15867323     -0.36224044
           0.13          -0.098           0.074     -0.14614303     0.030711063     -0.11543435      -0.3580801
           0.13          -0.098           0.078    -0.065861222    0.0018865679    -0.053540553     -0.35638886
           0.13          -0.098           0.082   -0.0032582639    -0.025639558    -0.021276442     -0.35550058
           0.13          -0.098           0.086     0.024484908    -0.038036514   -0.0046749543      -0.3556085
           0.13          -0.098            0.09     0.048231348    -0.041013399     0.018854457     -0.35597101
           0.13          -0.098           0.094     0.060967273    -0.031616766     0.029362019     -0.35612047
           0.13          -0.098           0.098     0.057186462    -0.012906398     0.020660771     -0.35521196
           0.13          -0.094          -0.098     0.064223164     0.012553839   -0.0026968864     -0.35842815
           0.13          -0.094          -0.094     -0.19921882      0.03356747     0.038690473     -0.35840217
           0.13          -0.094           -0.09     -0.47162968     0.062484093     0.084797811     -0.35953993
           0.13          -0.094          -0.086     -0.58667656      0.06948131       0.1100431     -0.36244389
           0.13          -0.094          -0.082     -0.60445121     0.060682831      0.11683946     -0.36652375
           0.13          -0.094          -0.078     -0.59290089     0.050637517      0.11778584     -0.37222658
           0.13          -0.094          -0.074     -0.57641735     0.043654467      0.11621643     -0.37812364
           0.13          -0.094           -0.07     -0.55826245      0.03874501      0.11392925     -0.38380405
           0.13          -0.094          -0.066     -0.53868432     0.035078626        0.111422     -0.38924688
           0.13          -0.094          -0.062     -0.51740852     0.032322843      0.10840824     -0.39447837
           0.13          -0.094          -0.058     -0.49341825     0.030190025       0.1048126     -0.39940007
           0.13          -0.094          -0.054     -0.46684339     0.028601063      0.10065739     -0.40391762
           0.13          -0.094           -0.05     -0.43689007     0.027643431     0.095758399     -0.40806441
           0.13          -0.094          -0.046     -0.40317953     0.027222339     0.089976222     -0.41184812
           0.13          -0.094          -0.042     -0.36552792     0.027179858     0.083278654      -0.4152824
           0.13          -0.094          -0.038     -0.32393555     0.027437346     0.075887362     -0.41837033
           0.13          -0.094          -0.034     -0.27882791     0.028093384     0.068466245     -0.42108943
           0.13          -0.094           -0.03     -0.23138194     0.029586252     0.062509784      -0.4233859
           0.13          -0.094          -0.026     -0.18002881      0.03196887     0.061028508     -0.42526518
           0.13          -0.094          -0.022     -0.11840588     0.034543549     0.065539862     -0.42690682
           0.13          -0.094          -0.018    -0.043396624     0.039633517     0.074014646     -0.42799492
           0.13          -0.094          -0.014     0.096432746     0.050280475     0.097511009     -0.42873514
           0.13          -0.094           -0.01      0.24286699     0.044108371      0.12745497        -0.42854
           0.13          -0.094          -0.006      0.31707164     0.039857588      0.11751099     -0.42808561
           0.13          -0.094          -0.002      0.31865538     0.025197258     0.086592294      -0.4294589
           0.13          -0.094           0.002      0.31602971    -0.017133871     0.081382167     -0.43049465
           0.13          -0.094           0.006      0.31511412    -0.050132864     0.090738754     -0.42981464
           0.13          -0.094            0.01      0.31366304    -0.052489144      0.10074883      -0.4300334
           0.13          -0.094           0.014      0.31141577    -0.026751077      0.10412316     -0.43112049
           0.13          -0.094           0.018      0.31130738     0.018409363     0.090328562     -0.43184068
           0.13          -0.094           0.022       0.3158949     0.056645843     0.055796197     -0.43067988
           0.13          -0.094           0.026       0.3464882      0.05384661    -0.028777567     -0.43409513
           0.13          -0.094            0.03      0.33940306     0.088982209     -0.12653694     -0.45022164
           0.13          -0.094           0.034      0.17760608      0.13333807     -0.19693912     -0.46517597
           0.13          -0.094           0.038    -0.056214234      0.11801515     -0.18671691     -0.46661426
           0.13          -0.094           0.042     -0.20881678      0.10288208     -0.17331416     -0.46037903
           0.13          -0.094           0.046     -0.31036594     0.091010766       -0.168463     -0.44769303
           0.13          -0.094            0.05     -0.37104438      0.07550376      -0.1520996     -0.43294459
           0.13          -0.094           0.054       -0.419174     0.076409538      -0.1486958      -0.4186564
           0.13          -0.094           0.058     -0.45917796     0.081719233     -0.15729764     -0.40465892
           0.13          -0.094           0.062     -0.48459577     0.091278074     -0.16652129     -0.39139827
           0.13          -0.094           0.066     -0.49829298       0.1016822     -0.17209748     -0.37921745
           0.13          -0.094            0.07     -0.49976818       0.1088175     -0.17103413     -0.36892511
           0.13          -0.094           0.074     -0.48436321      0.10807093     -0.16025726     -0.36189847
           0.13          -0.094           0.078     -0.44399037     0.096601242     -0.13660289       -0.357448
           0.13          -0.094           0.082     -0.36920875     0.073573418    -0.099820633     -0.35405857
           0.13          -0.094           0.086      -0.2541954     0.038537547    -0.055315172     -0.35255686
           0.13          -0.094            0.09    -0.098141704    0.0036367787   -0.0061260167     -0.35448785
           0.13          -0.094           0.094     0.026773598    -0.015370915     0.033224924      -0.3568654
           0.13          -0.094           0.098     0.061515196    -0.010195593     0.034851728     -0.35616249
           0.13           -0.09          -0.098    -0.041249263     0.026218491    0.0081384029     -0.35828477
           0.13           -0.09          -0.094      -0.4663351     0.078830482     0.068349143     -0.35904218
           0.13           -0.09           -0.09     -0.62732916     0.084881368     0.096920146     -0.36540857
           0.13           -0.09          -0.086     -0.63840197     0.075009712      0.10304743     -0.36859435
           0.13           -0.09          -0.082     -0.62623452     0.065391343      0.10748769     -0.37316738
           0.13           -0.09          -0.078       -0.607529     0.057222829      0.10963596     -0.37833739
           0.13           -0.09          -0.074     -0.58778952      0.05089486      0.11059208     -0.38340333
           0.13           -0.09           -0.07     -0.56725215     0.045896405      0.11094531      -0.3883747
           0.13           -0.09          -0.066     -0.54565297     0.041891208      0.11070493      -0.3931847
           0.13           -0.09          -0.062     -0.52265523     0.038774462      0.10975577     -0.39778675
           0.13           -0.09          -0.058     -0.49780455     0.036577097      0.10799099     -0.40213571
           0.13           -0.09          -0.054     -0.47085358     0.035284554      0.10532242     -0.40618572
           0.13           -0.09           -0.05     -0.44137793     0.034819907      0.10165919      -0.4099309
           0.13           -0.09          -0.046     -0.40905957     0.035052223     0.096960106     -0.41337803
           0.13           -0.09          -0.042     -0.37369588     0.035765878     0.091302958     -0.41654732
           0.13           -0.09          -0.038     -0.33509526     0.036681903     0.084980445     -0.41946124
           0.13           -0.09          -0.034     -0.29300228     0.037495709      0.07864944      -0.4221471
           0.13           -0.09           -0.03     -0.24683955     0.037976023      0.07348852      -0.4245988
           0.13           -0.09          -0.026     -0.19488902     0.038054811     0.071085277     -0.42676814
           0.13           -0.09          -0.022     -0.13554316     0.038290729     0.072030491     -0.42856416
           0.13           -0.09          -0.018    -0.069192047     0.041165954     0.075176706     -0.42956748
           0.13           -0.09          -0.014      0.01610326     0.048248234     0.085294122     -0.42956909
           0.13           -0.09           -0.01       0.1463461     0.056133899      0.11352725     -0.42845651
           0.13           -0.09          -0.006      0.27140121     0.052732997       0.1356799     -0.42719893
           0.13           -0.09          -0.002       0.3181208     0.026624467      0.13228556     -0.42725022
           0.13           -0.09           0.002      0.31639252    -0.028914453      0.12490476     -0.42804912
           0.13           -0.09           0.006      0.31589573    -0.064516955      0.12125404     -0.42977321
           0.13           -0.09            0.01      0.31463034    -0.060780401      0.11605794     -0.43217613
           0.13           -0.09           0.014      0.31139299    -0.025402978       0.1038738     -0.43454855
           0.13           -0.09           0.018      0.31172396     0.035901359     0.078090218     -0.43611012
           0.13           -0.09           0.022      0.32115853      0.09948353     0.043315992     -0.43489238
           0.13           -0.09           0.026      0.35083854      0.11931085    -0.042501203     -0.44076101
           0.13           -0.09            0.03      0.28682778      0.15813483     -0.14071388     -0.45827423
           0.13           -0.09           0.034     0.092228476      0.16130025     -0.16874331      -0.4714297
           0.13           -0.09           0.038    -0.079279573      0.10207628     -0.12657572     -0.47484445
