#       point_x         point_y         point_z             U_x             U_y             U_z               p
           0.35          -0.096          -0.096    -0.016588723    -0.072654641    -0.072662165               0
           0.35            -0.1          -0.096     0.023870007    -0.031115231    -0.036276327     0.011347524
           0.35            -0.1            -0.1      0.03611026    -0.020394007    -0.020396127     0.015852625
           0.35          -0.096            -0.1     0.023873677    -0.036272381    -0.031118464     0.011347619
           0.35          -0.092          -0.096     -0.11512951    -0.092291923    -0.072728173               0
           0.35          -0.092            -0.1    -0.023261475    -0.046591643    -0.031595352     0.010947431
           0.35          -0.088          -0.096     -0.17057237     -0.10544924    -0.072081422               0
           0.35          -0.088            -0.1    -0.050790198    -0.052909643    -0.031152375     0.011118782
           0.35          -0.084          -0.096     -0.20514238     -0.11154422    -0.070870118               0
           0.35          -0.084            -0.1    -0.068504589    -0.055308141    -0.030297742     0.011078231
           0.35           -0.08          -0.096     -0.22698309     -0.11423312    -0.069352714               0
           0.35           -0.08            -0.1    -0.080412013    -0.056062103    -0.029344372      0.01083308
           0.35          -0.076          -0.096     -0.24033661     -0.11435915    -0.067694926               0
           0.35          -0.076            -0.1    -0.088606385    -0.055656498    -0.028399788     0.010426594
           0.35          -0.072          -0.096     -0.24756635     -0.11240131    -0.065936282               0
           0.35          -0.072            -0.1     -0.09418097    -0.054315202    -0.027475381    0.0099026135
           0.35          -0.068          -0.096     -0.25021044     -0.10869241     -0.06404988               0
           0.35          -0.068            -0.1    -0.097808682    -0.052186493     -0.02654717    0.0092947224
           0.35          -0.064          -0.096     -0.24942527     -0.10354454    -0.061995954               0
           0.35          -0.064            -0.1    -0.099979912    -0.049413592    -0.025587887    0.0086294531
           0.35           -0.06          -0.096      -0.2461885     -0.09726051    -0.059743498               0
           0.35           -0.06            -0.1     -0.10110499    -0.046139175    -0.024576415    0.0079278563
           0.35          -0.056          -0.096     -0.24137203    -0.090132333    -0.057277934               0
           0.35          -0.056            -0.1     -0.10154853    -0.042502667    -0.023500417    0.0072075273
           0.35          -0.052          -0.096     -0.23575817    -0.082432556    -0.054602804               0
           0.35          -0.052            -0.1     -0.10163658    -0.038634504    -0.022356608    0.0064837215
           0.35          -0.048          -0.096     -0.23003274    -0.074406443    -0.051739419               0
           0.35          -0.048            -0.1     -0.10165314    -0.034651611    -0.021150293    0.0057699647
           0.35          -0.044          -0.096     -0.22477121    -0.066267607    -0.048724642               0
           0.35          -0.044            -0.1     -0.10183352    -0.030654744    -0.019894309    0.0050781494
           0.35           -0.04          -0.096     -0.22042261    -0.058194134    -0.045611773               0
           0.35           -0.04            -0.1     -0.10235675    -0.026726239    -0.018608712    0.0044186277
           0.35          -0.036          -0.096     -0.21729707    -0.050322742    -0.042463558               0
           0.35          -0.036            -0.1     -0.10333924    -0.022928063    -0.017317199    0.0038002202
