#       point_x         point_y         point_z             U_x             U_y             U_z               p
           0.13          -0.096          -0.096     -0.85489926  -0.00087050551  -0.00082411652     -0.49670472
           0.13            -0.1          -0.096               0               0               0     -0.49658773
           0.13            -0.1            -0.1               0               0               0     -0.49650716
           0.13          -0.096            -0.1               0               0               0     -0.49658908
           0.13          -0.092          -0.096     -0.91459913   -0.0026514586  -0.00086406978     -0.49694688
           0.13          -0.092            -0.1               0               0               0     -0.49678432
           0.13          -0.088          -0.096     -0.90439054   -0.0049782765  -0.00080939059     -0.49722954
           0.13          -0.088            -0.1               0               0               0     -0.49704742
           0.13          -0.084          -0.096     -0.87451663   -0.0072154625  -0.00089614485     -0.49754009
           0.13          -0.084            -0.1               0               0               0     -0.49734163
           0.13           -0.08          -0.096     -0.83676716   -0.0093235479  -0.00097725614     -0.49784345
           0.13           -0.08            -0.1               0               0               0     -0.49763024
           0.13          -0.076          -0.096     -0.79485482    -0.011191344   -0.0010904055     -0.49812287
           0.13          -0.076            -0.1               0               0               0     -0.49789241
           0.13          -0.072          -0.096      -0.7502738    -0.012829007   -0.0013278084     -0.49834225
           0.13          -0.072            -0.1               0               0               0     -0.49808486
           0.13          -0.068          -0.096     -0.70393218    -0.014245382   -0.0016093262     -0.49846161
           0.13          -0.068            -0.1               0               0               0     -0.49817501
           0.13          -0.064          -0.096     -0.65649228    -0.015476951   -0.0016837216      -0.4984343
           0.13          -0.064            -0.1               0               0               0     -0.49813526
           0.13           -0.06          -0.096     -0.60838139    -0.016585624   -0.0013685838     -0.49823023
           0.13           -0.06            -0.1               0               0               0     -0.49793633
           0.13          -0.056          -0.096       -0.559949     -0.01763476  -0.00091108451     -0.49782491
           0.13          -0.056            -0.1               0               0               0     -0.49754858
           0.13          -0.052          -0.096     -0.51163746     -0.01869996  -0.00040202152     -0.49718634
           0.13          -0.052            -0.1               0               0               0     -0.49694135
           0.13          -0.048          -0.096     -0.46394074     -0.01992729    0.0004405889     -0.49628782
           0.13          -0.048            -0.1               0               0               0     -0.49608957
           0.13          -0.044          -0.096     -0.41729628     -0.02146171    0.0019099374      -0.4951137
           0.13          -0.044            -0.1               0               0               0     -0.49498469
           0.13           -0.04          -0.096     -0.37226608    -0.023380556    0.0039393042     -0.49367291
           0.13           -0.04            -0.1               0               0               0     -0.49363937
           0.13          -0.036          -0.096     -0.32970102    -0.025758676    0.0062165099     -0.49198534
           0.13          -0.036            -0.1               0               0               0     -0.49205479
           0.13          -0.032          -0.096     -0.29038975    -0.028656731     0.008404535     -0.49004087
           0.13          -0.032            -0.1               0               0               0     -0.49017618
           0.13          -0.028          -0.096     -0.25506214    -0.031968378     0.010514441       -0.487788
           0.13          -0.028            -0.1               0               0               0      -0.4879519
           0.13          -0.024          -0.096     -0.22410601    -0.035401794     0.012894662     -0.48519176
           0.13          -0.024            -0.1               0               0               0     -0.48537802
           0.13           -0.02          -0.096     -0.19723368    -0.038365586     0.015434411     -0.48226551
           0.13           -0.02            -0.1               0               0               0     -0.48248306
           0.13          -0.016          -0.096     -0.17387305     -0.03974323     0.017910989     -0.47905733
           0.13          -0.016            -0.1               0               0               0     -0.47933363
           0.13          -0.012          -0.096     -0.15321395    -0.037695677     0.020305389     -0.47567794
           0.13          -0.012            -0.1               0               0               0     -0.47604254
           0.13          -0.008          -0.096     -0.13496304    -0.029839249     0.022768068     -0.47246088
           0.13          -0.008            -0.1               0               0               0     -0.47287902
           0.13          -0.004          -0.096     -0.11968161    -0.012763079     0.025271537      -0.4700679
           0.13          -0.004            -0.1               0               0               0     -0.47044513
