#       point_x         point_y         point_z             U_x             U_y             U_z               p
            0.1           0.084          -0.096     -0.69655542      0.10454716     0.027319752     -0.57863852
            0.1           0.084            -0.1               0               0               0     -0.57918295
            0.1           0.088          -0.096     -0.77724153     0.086588203     0.034405859     -0.57574003
            0.1           0.088            -0.1               0               0               0     -0.57632946
            0.1           0.092          -0.096     -0.85664543     0.062469694      0.04174409     -0.57289282
            0.1           0.092            -0.1               0               0               0     -0.57346356
            0.1           0.096          -0.096     -0.88164013     0.033871114     0.046924809     -0.57000737
            0.1           0.096            -0.1               0               0               0     -0.57040722
            0.1             0.1            -0.1               0               0               0      -0.5686661
            0.1             0.1          -0.096               0               0               0     -0.56843109
            0.1          -0.096          -0.092     -0.83976834     0.042973562    -0.064852805     -0.56941843
            0.1            -0.1          -0.092               0               0               0      -0.5700479
            0.1          -0.092          -0.092     -0.92280153     0.076635874    -0.046793402     -0.57001945
            0.1          -0.088          -0.092     -0.96885094      0.10418977    -0.028463858     -0.57243461
            0.1          -0.084          -0.092     -0.98890978      0.12339795    -0.011866144     -0.57522513
            0.1           -0.08          -0.092     -0.98000967      0.13582838   0.00044949329     -0.57878813
            0.1          -0.076          -0.092      -0.9387083      0.14123818    0.0068728706     -0.58311242
            0.1          -0.072          -0.092     -0.86764261      0.14026853    0.0072896393     -0.58810307
            0.1          -0.068          -0.092     -0.77854661      0.13504688    0.0026712425     -0.59332516
            0.1          -0.064          -0.092      -0.6894081       0.1293323   -0.0060939811     -0.59820819
            0.1           -0.06          -0.092     -0.61278976      0.12580433    -0.017368625     -0.60236479
            0.1          -0.056          -0.092     -0.54993175      0.12439706    -0.027912522     -0.60563893
            0.1          -0.052          -0.092     -0.49739182      0.12400192    -0.034570525     -0.60805476
            0.1          -0.048          -0.092     -0.45249347      0.12356425    -0.035773395     -0.60988088
            0.1          -0.044          -0.092      -0.4143458      0.12234215    -0.031571764     -0.61152883
            0.1           -0.04          -0.092     -0.38276975      0.11995229    -0.023019218     -0.61336636
            0.1          -0.036          -0.092     -0.35717546      0.11644641    -0.011738735     -0.61566862
            0.1          -0.032          -0.092     -0.33538069      0.11230716  -1.4666227e-05     -0.61871238
            0.1          -0.028          -0.092        -0.31203      0.10782949     0.009069713     -0.62279249
            0.1          -0.024          -0.092     -0.27823052      0.10245339     0.012865911     -0.62801632
            0.1           -0.02          -0.092     -0.22557246     0.094170298     0.011890208     -0.63388788
            0.1          -0.016          -0.092     -0.15153421     0.081586184     0.010188833     -0.63897409
            0.1          -0.012          -0.092     -0.05507424     0.065197686     0.012145334     -0.64178709
            0.1          -0.008          -0.092     0.076980756     0.043866087     0.017959591     -0.64128457
            0.1          -0.004          -0.092      0.24898596     0.024405773     0.021624297      -0.6361153
            0.1  -1.9825424e-18          -0.092      0.41276848      0.01481596      0.02014037     -0.62643961
            0.1           0.004          -0.092      0.51803264     0.012192832     0.019015912     -0.61472414
            0.1           0.008          -0.092      0.56235926     0.013065453     0.022646941     -0.60345653
            0.1           0.012          -0.092      0.55940522     0.016395965      0.02874941     -0.59402705
            0.1           0.016          -0.092      0.51999447     0.022462907     0.032216883     -0.58698785
            0.1            0.02          -0.092      0.45326732     0.031635037     0.030710497     -0.58252577
            0.1           0.024          -0.092      0.36936232     0.043408205     0.025997944     -0.58034722
            0.1           0.028          -0.092      0.27551599     0.056937752     0.020984619     -0.57981985
            0.1           0.032          -0.092      0.17529761     0.071997447     0.017331246     -0.58035125
            0.1           0.036          -0.092     0.066984773     0.090166547     0.015315147     -0.58152977
            0.1            0.04          -0.092    -0.050089722       0.1120006     0.014587161     -0.58313796
            0.1           0.044          -0.092     -0.16210652      0.13205532     0.014174035     -0.58481577
            0.1           0.048          -0.092     -0.25381572      0.14424257     0.013114391     -0.58615437
            0.1           0.052          -0.092      -0.3229397      0.14778514     0.011470626     -0.58702495
            0.1           0.056          -0.092     -0.37517379      0.14510368     0.010056141      -0.5874745
            0.1            0.06          -0.092     -0.41897361      0.13915137    0.0099917987     -0.58754901
            0.1           0.064          -0.092     -0.46197585      0.13184759       0.0122511     -0.58721153
            0.1           0.068          -0.092     -0.50966536      0.12381003     0.017209537     -0.58638484
            0.1           0.072          -0.092     -0.56547631      0.11485318     0.024490235     -0.58502286
            0.1           0.076          -0.092     -0.63104565      0.10457699     0.033301842     -0.58314986
            0.1            0.08          -0.092     -0.70592339      0.09261799     0.042978148     -0.58089889
            0.1           0.084          -0.092     -0.78730813     0.078514869     0.053117717     -0.57843854
            0.1           0.088          -0.092     -0.86973807     0.062120832     0.063553342     -0.57587945
            0.1           0.092          -0.092     -0.94122174     0.043094971     0.073358943     -0.57351321
            0.1           0.096          -0.092     -0.95320064     0.022950809     0.080816831     -0.57130324
            0.1             0.1          -0.092               0               0               0     -0.57016518
            0.1          -0.096          -0.088     -0.76126181      0.03513651    -0.088827426     -0.57248877
            0.1            -0.1          -0.088               0               0               0       -0.573108
            0.1          -0.092          -0.088     -0.85113078     0.065602299    -0.066174619      -0.5726183
            0.1          -0.088          -0.088     -0.90513645      0.09254873    -0.043031654     -0.57412894
            0.1          -0.084          -0.088     -0.93467546      0.11396365    -0.022815889     -0.57605876
            0.1           -0.08          -0.088     -0.93869051      0.13114919   -0.0081372918      -0.5788079
            0.1          -0.076          -0.088     -0.91493224      0.14384216  -0.00057025144      -0.5824953
            0.1          -0.072          -0.088     -0.86469267      0.15211654  -0.00063624671      -0.5871323
            0.1          -0.068          -0.088     -0.79542277      0.15692608   -0.0075165706     -0.59235139
            0.1          -0.064          -0.088     -0.71816852      0.15961645    -0.018957439     -0.59760103
            0.1           -0.06          -0.088     -0.64231729      0.16073565    -0.031537671     -0.60237884
            0.1          -0.056          -0.088      -0.5728004      0.16001137    -0.041715691     -0.60633794
            0.1          -0.052          -0.088     -0.51116805      0.15708737    -0.046896034     -0.60938612
            0.1          -0.048          -0.088     -0.45775325      0.15191245    -0.045924615     -0.61171016
            0.1          -0.044          -0.088     -0.41262809      0.14474213    -0.039004523     -0.61364863
            0.1           -0.04          -0.088     -0.37554217      0.13613496    -0.027336626      -0.6155444
            0.1          -0.036          -0.088     -0.34545238      0.12694501    -0.012789065     -0.61769554
            0.1          -0.032          -0.088     -0.31978495      0.11811364    0.0021519553      -0.6203977
            0.1          -0.028          -0.088     -0.29366765      0.11021232     0.014288642     -0.62393438
            0.1          -0.024          -0.088     -0.25927165      0.10279957     0.020655135     -0.62848308
            0.1           -0.02          -0.088     -0.20782829     0.093746724     0.021046715     -0.63378579
            0.1          -0.016          -0.088     -0.13411966     0.080889455     0.019465437     -0.63856119
            0.1          -0.012          -0.088    -0.033641381     0.062823487      0.02141129     -0.64127684
            0.1          -0.008          -0.088      0.10880098     0.038847741     0.028382669     -0.64033336
            0.1          -0.004          -0.088       0.2895032     0.017351411     0.033442447      -0.6343651
            0.1  -3.5444043e-41          -0.088      0.45128706    0.0057986842     0.032213475     -0.62428868
            0.1           0.004          -0.088      0.54688747    0.0018479408     0.030905331     -0.61274542
            0.1           0.008          -0.088      0.58006891    0.0031050293     0.034327526     -0.60201912
            0.1           0.012          -0.088      0.56798334    0.0083755492       0.0398493     -0.59328028
            0.1           0.016          -0.088      0.52323619     0.017183251     0.042212084     -0.58682155
            0.1            0.02          -0.088      0.45549125     0.029024655      0.03926949     -0.58264111
            0.1           0.024          -0.088       0.3729173     0.042944933     0.033045235     -0.58052042
            0.1           0.028          -0.088      0.28091985     0.057882796     0.026771089     -0.57996772
            0.1           0.032          -0.088      0.18259351     0.073335119     0.022695392      -0.5804026
            0.1           0.036          -0.088     0.076354935     0.090496033     0.021666361     -0.58140136
            0.1            0.04          -0.088    -0.039078298      0.10973211     0.023000217     -0.58284658
            0.1           0.044          -0.088     -0.15009964      0.12599402     0.024382728     -0.58446523
            0.1           0.048          -0.088     -0.24121093      0.13386884     0.023965136     -0.58583279
            0.1           0.052          -0.088     -0.31155402      0.13316161      0.02197537     -0.58680028
            0.1           0.056          -0.088     -0.36805975      0.12673163     0.019893526     -0.58736496
            0.1            0.06          -0.088      -0.4194589      0.11772606     0.019590344     -0.58749702
            0.1           0.064          -0.088      -0.4728428      0.10804399     0.022620712     -0.58713711
            0.1           0.068          -0.088      -0.5326468     0.098199005     0.029613876     -0.58624745
            0.1           0.072          -0.088     -0.60096805     0.087892509     0.039972084     -0.58485387
            0.1           0.076          -0.088     -0.67775893     0.076731292     0.052254292     -0.58306508
            0.1            0.08          -0.088     -0.76059386     0.064565361     0.065032125     -0.58108564
            0.1           0.084          -0.088     -0.84481192      0.05141087     0.077312244      -0.5791272
            0.1           0.088          -0.088     -0.92379928      0.03760244     0.088592375     -0.57732422
            0.1           0.092          -0.088     -0.98575835     0.023695969     0.098161076      -0.5758201
            0.1           0.096          -0.088      -0.9851851     0.011073458      0.10556096     -0.57456448
            0.1             0.1          -0.088               0               0               0     -0.57396309
            0.1          -0.096          -0.084       -0.682085     0.027782786     -0.10624194     -0.57555588
            0.1            -0.1          -0.084               0               0               0     -0.57610738
            0.1          -0.092          -0.084     -0.76959575     0.054438129    -0.082264783     -0.57536384
            0.1          -0.088          -0.084     -0.82582479     0.079889372    -0.056726261     -0.57609709
            0.1          -0.084          -0.084      -0.8603092      0.10239704     -0.03483435     -0.57723381
            0.1           -0.08          -0.084     -0.87205284      0.12278947    -0.019311684     -0.57923253
            0.1          -0.076          -0.084     -0.85946762      0.14065378    -0.011606767     -0.58231991
            0.1          -0.072          -0.084     -0.82318786      0.15556292    -0.012190913     -0.58659703
            0.1          -0.068          -0.084     -0.76780415      0.16726921    -0.019898569      -0.5917934
            0.1          -0.064          -0.084      -0.7007754      0.17563205     -0.03172385     -0.59734095
            0.1           -0.06          -0.084     -0.62969111      0.18026219    -0.043653794     -0.60260364
            0.1          -0.056          -0.084     -0.56038275      0.18063273    -0.052105533     -0.60709591
            0.1          -0.052          -0.084     -0.49657524      0.17654247    -0.054835802     -0.61063934
            0.1          -0.048          -0.084     -0.44039096      0.16833188    -0.051041499     -0.61337537
            0.1          -0.044          -0.084     -0.39278163      0.15683031     -0.04118404     -0.61559402
