#       point_x         point_y         point_z             U_x             U_y             U_z               p
           0.35          -0.096          -0.096      0.73736919    -0.011222504    0.0046059224               0
           0.35            -0.1          -0.096      0.34956866   -0.0032491857    0.0023505027    0.0037670985
           0.35            -0.1            -0.1      0.21961612   -0.0021366675   0.00098879651    0.0049564216
           0.35          -0.096            -0.1      0.35126582   -0.0061273087     0.001750454    0.0037128765
           0.35          -0.092          -0.096      0.79206082    -0.021872237    0.0043103669               0
           0.35          -0.092            -0.1      0.38162276    -0.012885312    0.0020518658    0.0037401713
           0.35          -0.088          -0.096      0.82011721    -0.032631872    0.0032318148               0
           0.35          -0.088            -0.1      0.39661169    -0.019838226    0.0016834894    0.0037055439
           0.35          -0.084          -0.096      0.84519438    -0.041578502    0.0012909708               0
           0.35          -0.084            -0.1      0.40966315    -0.025527716   0.00085856751    0.0035518698
           0.35           -0.08          -0.096       0.8703719    -0.048491073   -0.0013366438               0
           0.35           -0.08            -0.1      0.42258422    -0.029749218  -0.00032821412    0.0033411131
           0.35          -0.076          -0.096      0.89535963    -0.052725068   -0.0042040623               0
           0.35          -0.076            -0.1      0.43519445    -0.032138469   -0.0015976272    0.0030804048
           0.35          -0.072          -0.096      0.91931683    -0.054063395   -0.0066780859               0
           0.35          -0.072            -0.1      0.44704643     -0.03273355   -0.0025062153    0.0027834133
           0.35          -0.068          -0.096      0.94164942    -0.052408538   -0.0088406718               0
           0.35          -0.068            -0.1      0.45803435    -0.031632534   -0.0032338807    0.0024525885
           0.35          -0.064          -0.096      0.96161332    -0.047875758    -0.010648977               0
           0.35          -0.064            -0.1      0.46789945    -0.028980328   -0.0038107971    0.0020936306
           0.35           -0.06          -0.096      0.97857523    -0.040681553    -0.012080769               0
           0.35           -0.06            -0.1      0.47641651    -0.024943711   -0.0042495639    0.0017109572
           0.35          -0.056          -0.096      0.99205813    -0.031100405    -0.013149505               0
           0.35          -0.056            -0.1      0.48341791    -0.019696592   -0.0045665471    0.0013101706
           0.35          -0.052          -0.096       1.0017343    -0.019436253    -0.013898032               0
           0.35          -0.052            -0.1      0.48878625    -0.013407555   -0.0047842582   0.00089400768
           0.35          -0.048          -0.096       1.0074071      -0.0059955     -0.01438682               0
           0.35          -0.048            -0.1       0.4924435   -0.0062618138   -0.0049442327   0.00046485461
           0.35          -0.044          -0.096        1.009006    0.0089751109     -0.01456765               0
           0.35          -0.044            -0.1      0.49433566    0.0017138953   -0.0050405024   4.8236828e-05
           0.35           -0.04          -0.096       1.0065887     0.024952947    -0.014293116               0
           0.35           -0.04            -0.1      0.49436734     0.010274896   -0.0049923297  -0.00033455664
           0.35          -0.036          -0.096       1.0004862      0.04135223    -0.013537795               0
           0.35          -0.036            -0.1      0.49256828     0.019039784   -0.0047712841  -0.00069831185
           0.35          -0.032          -0.096      0.99127938     0.057776587    -0.012366518               0
           0.35          -0.032            -0.1      0.48916033     0.027815657   -0.0044046066   -0.0010499646
           0.35          -0.028          -0.096      0.97960457      0.07378615    -0.010831462               0
           0.35          -0.028            -0.1      0.48439718     0.036354582    -0.003910995   -0.0013811151
           0.35          -0.024          -0.096      0.96610722     0.089006817   -0.0089967664               0
           0.35          -0.024            -0.1       0.4785527     0.044444138   -0.0033128044   -0.0016885216
           0.35           -0.02          -0.096       0.9514071      0.10313966   -0.0069386006               0
           0.35           -0.02            -0.1      0.47190837     0.051914671   -0.0026382457   -0.0019702455
           0.35          -0.016          -0.096      0.93607034       0.1159611    -0.004738156               0
           0.35          -0.016            -0.1      0.46474061     0.058640655   -0.0019199552   -0.0022244497
           0.35          -0.012          -0.096      0.92057329      0.12732463   -0.0024675617               0
           0.35          -0.012            -0.1      0.45730391     0.064544326   -0.0011894685    -0.002449285
           0.35          -0.008          -0.096      0.90523686      0.13713596  -0.00017057876               0
           0.35          -0.008            -0.1      0.44981801     0.069582592  -0.00046504735   -0.0026431227
           0.35          -0.004          -0.096      0.89035812      0.14532946    0.0021255308               0
           0.35          -0.004            -0.1      0.44246487     0.073729325   0.00024719723   -0.0028037947
           0.35               0          -0.096      0.87627163      0.15185953    0.0043907573               0
           0.35               0            -0.1      0.43538848     0.076971519   0.00094046854   -0.0029280104
           0.35           0.004          -0.096      0.86323612      0.15668835    0.0065982058               0
           0.35           0.004            -0.1      0.42870454     0.079304178    0.0016067883   -0.0030122788
           0.35           0.008          -0.096      0.85144513      0.15978062    0.0087263511               0
           0.35           0.008            -0.1      0.42251026     0.080723673    0.0022401791   -0.0030533316
           0.35           0.012          -0.096      0.84104465      0.16110265     0.010753617               0
           0.35           0.012            -0.1      0.41688577     0.081227358    0.0028346313   -0.0030489584
           0.35           0.016          -0.096      0.83214618      0.16062809     0.012654316               0
           0.35           0.016            -0.1      0.41189681     0.080813649    0.0033836504   -0.0029987895
           0.35            0.02          -0.096      0.82482705      0.15834353      0.01443488               0
           0.35            0.02            -0.1        0.407591     0.079482259    0.0039157567   -0.0029011226
           0.35           0.024          -0.096      0.81908661       0.1542491     0.016193217               0
           0.35           0.024            -0.1      0.40395617      0.07722991    0.0045542013   -0.0027550982
           0.35           0.028          -0.096      0.81496053      0.14839949     0.017738594               0
           0.35           0.028            -0.1      0.40102723     0.074087085    0.0051425834   -0.0025598973
           0.35           0.032          -0.096      0.81254464      0.14090685        0.018837               0
           0.35           0.032            -0.1      0.39890484     0.070124335    0.0054865198   -0.0023162604
           0.35           0.036          -0.096      0.81184303      0.13191283      0.01951075               0
           0.35           0.036            -0.1      0.39761549     0.065413461    0.0056512777   -0.0020288988
           0.35            0.04          -0.096      0.81275847      0.12160943     0.019824139               0
           0.35            0.04            -0.1      0.39711312     0.060041778    0.0057408362   -0.0016999527
           0.35           0.044          -0.096      0.81509554      0.11025395     0.019704848               0
           0.35           0.044            -0.1      0.39729879     0.054140348    0.0057240464   -0.0013316781
           0.35           0.048          -0.096      0.81864186     0.098169978     0.019007045               0
           0.35           0.048            -0.1      0.39810104     0.047885526    0.0054917711   -0.0009308307
           0.35           0.052          -0.096      0.82301306     0.085707641     0.017728044               0
           0.35           0.052            -0.1      0.39936221     0.041464445    0.0050569502  -0.00050362001
           0.35           0.056          -0.096      0.82754095      0.07323533     0.015989934               0
           0.35           0.056            -0.1      0.40074063     0.035071347    0.0045203345  -5.4530262e-05
           0.35            0.06          -0.096      0.83163644     0.061107081      0.01384192               0
           0.35            0.06            -0.1      0.40202037     0.028911045    0.0038601403   0.00041628745
           0.35           0.064          -0.096      0.83467913     0.049536596      0.01141937               0
           0.35           0.064            -0.1      0.40299087     0.023124726    0.0030936898   0.00090775368
           0.35           0.068          -0.096      0.83567324     0.038569623    0.0090081212               0
           0.35           0.068            -0.1      0.40310637     0.017736822    0.0023696747    0.0014094171
           0.35           0.072          -0.096      0.83384747      0.02818258    0.0066771035               0
           0.35           0.072            -0.1      0.40193028     0.012709314    0.0016562528    0.0019115704
           0.35           0.076          -0.096      0.82899455     0.018290381     0.004506202               0
           0.35           0.076            -0.1      0.39931952    0.0079228475    0.0010353793    0.0024028196
           0.35            0.08          -0.096      0.82115743    0.0089828029    0.0025156239               0
           0.35            0.08            -0.1      0.39513982    0.0033282977   0.00069968869    0.0028681388
           0.35           0.084          -0.096      0.81090293   0.00062356552  -0.00017118415               0
           0.35           0.084            -0.1      0.38963594   -0.0009460538   0.00016744285    0.0032741869
           0.35           0.088          -0.096      0.79870043   -0.0056594544   -0.0046036494               0
           0.35           0.088            -0.1      0.38320087   -0.0041500151   -0.0012674903    0.0035926467
           0.35           0.092          -0.096      0.78074508   -0.0087732578    -0.010018857               0
           0.35           0.092            -0.1      0.37350158   -0.0054197445   -0.0031129508    0.0037837373
           0.35           0.096          -0.096      0.73503178   -0.0071193835    -0.014451205               0
           0.35           0.096            -0.1      0.34802426    -0.003886821   -0.0042904772    0.0037887622
           0.35             0.1            -0.1      0.21931531    -0.001501336   -0.0030707359    0.0049885469
           0.35             0.1          -0.096      0.35084301   -0.0023748298   -0.0081015875    0.0036951311
           0.35          -0.096          -0.092      0.78502838   -0.0078592113    0.0040625678               0
           0.35            -0.1          -0.092      0.37636245   -0.0025131868     0.002558392    0.0037877265
           0.35          -0.092          -0.092      0.83177421    -0.013910068    0.0024459497               0
           0.35          -0.088          -0.092      0.85627652    -0.019768028   0.00096511298               0
           0.35          -0.084          -0.092      0.87878333     -0.02479886   -0.0011991946               0
           0.35           -0.08          -0.092      0.90190263    -0.028988714   -0.0040451845               0
           0.35          -0.076          -0.092      0.92544573    -0.031823974   -0.0073391088               0
           0.35          -0.072          -0.092      0.94852608    -0.032822283    -0.010720821               0
           0.35          -0.068          -0.092      0.97001986     -0.03159147    -0.013936417               0
           0.35          -0.064          -0.092      0.98881931    -0.028001222    -0.016777436               0
           0.35           -0.06          -0.092       1.0039885    -0.022081011     -0.01911765               0
           0.35          -0.056          -0.092       1.0148337    -0.013973769    -0.020907399               0
           0.35          -0.052          -0.092       1.0209144   -0.0039126616     -0.02214693               0
           0.35          -0.048          -0.092       1.0220696    0.0078068282    -0.022833508               0
           0.35          -0.044          -0.092       1.0184607     0.020754801    -0.022891327               0
           0.35           -0.04          -0.092       1.0105877     0.034460508    -0.022231666               0
           0.35          -0.036          -0.092      0.99919025     0.048542277    -0.020869517               0
           0.35          -0.032          -0.092      0.98509821     0.062632275    -0.018878029               0
           0.35          -0.028          -0.092      0.96915011     0.076392789    -0.016337317               0
