#       point_x         point_y         point_z             U_x             U_y             U_z               p
           0.13          -0.096          -0.096     -0.93686451     0.052297193    -0.037352825     -0.54052017
           0.13            -0.1          -0.096               0               0               0     -0.54067294
           0.13            -0.1            -0.1               0               0               0     -0.53891292
           0.13          -0.096            -0.1               0               0               0     -0.53901674
           0.13          -0.092          -0.096     -0.99540144     0.085344322    -0.020757657      -0.5427387
           0.13          -0.092            -0.1               0               0               0     -0.54187504
           0.13          -0.088          -0.096      -1.0158654      0.10437907   -0.0033438077     -0.54721805
           0.13          -0.088            -0.1               0               0               0     -0.54707493
           0.13          -0.084          -0.096      -1.0046802       0.1062903     0.012746568     -0.55178908
           0.13          -0.084            -0.1               0               0               0     -0.55231693
           0.13           -0.08          -0.096     -0.94980708       0.0940202     0.023016743     -0.55712493
           0.13           -0.08            -0.1               0               0               0     -0.55818258
           0.13          -0.076          -0.096      -0.8448458      0.07004594     0.025747028     -0.56328556
           0.13          -0.076            -0.1               0               0               0     -0.56458255
           0.13          -0.072          -0.096     -0.70619932     0.040415398     0.023865577     -0.56964854
           0.13          -0.072            -0.1               0               0               0      -0.5708596
           0.13          -0.068          -0.096     -0.56981967      0.01289838     0.019855344     -0.57503661
           0.13          -0.068            -0.1               0               0               0       -0.575725
           0.13          -0.064          -0.096     -0.46563111    -0.008199756     0.012013537     -0.57909111
           0.13          -0.064            -0.1               0               0               0     -0.57895944
           0.13           -0.06          -0.096     -0.39828579    -0.020996931   -0.0020818621     -0.58134549
           0.13           -0.06            -0.1               0               0               0     -0.58033121
           0.13          -0.056          -0.096     -0.35335144    -0.024336312     -0.01878425      -0.5808826
           0.13          -0.056            -0.1               0               0               0     -0.57890511
           0.13          -0.052          -0.096     -0.31671362    -0.020099889    -0.031713603     -0.57810291
           0.13          -0.052            -0.1               0               0               0     -0.57521372
           0.13          -0.048          -0.096     -0.28428264    -0.012411159    -0.037533312     -0.57436986
           0.13          -0.048            -0.1               0               0               0     -0.57098595
           0.13          -0.044          -0.096     -0.25683328   -0.0067763248    -0.034673903      -0.5707718
           0.13          -0.044            -0.1               0               0               0      -0.5675744
