#             x               y               z             U_x             U_y             U_z               p
            0.1          -0.098          -0.098     0.041579969   -0.0073878144    0.0044091693      -0.3454423
            0.1          -0.098          -0.094     0.054291199    -0.009221596     0.011276203     -0.34551329
            0.1          -0.098           -0.09     0.053001729   -0.0078151805     0.019232435     -0.34581346
            0.1          -0.098          -0.086     0.046114876    -0.005340134     0.026223661     -0.34635677
            0.1          -0.098          -0.082     0.037693441   -0.0031694416     0.031367705     -0.34702135
            0.1          -0.098          -0.078     0.029468787    -0.001487049     0.035033682     -0.34775311
            0.1          -0.098          -0.074     0.021083853   8.4969648e-05     0.038543456     -0.34858338
            0.1          -0.098           -0.07     0.012593234    0.0017620446      0.04277659     -0.34957504
            0.1          -0.098          -0.066    0.0065007975    0.0036200228     0.047131157     -0.35074172
            0.1          -0.098          -0.062    0.0055743649    0.0049931669     0.049402048     -0.35204429
            0.1          -0.098          -0.058     0.010369239    0.0039042623     0.047732487      -0.3533917
            0.1          -0.098          -0.054      0.01365127   -0.0033018361     0.042556303     -0.35431925
            0.1          -0.098           -0.05      0.01542994    -0.021952631     0.036553304     -0.35407491
            0.1          -0.098          -0.046     0.031201209    -0.034956814     0.039624275     -0.35370262
            0.1          -0.098          -0.042     0.055890192    -0.025126204     0.047426318     -0.35550971
            0.1          -0.098          -0.038     0.073307034   -0.0052833413      0.04516523     -0.35909195
            0.1          -0.098          -0.034     0.085252849     0.011159123     0.033792921     -0.36225312
            0.1          -0.098           -0.03     0.098342115      0.01955615     0.021013718     -0.36454636
            0.1          -0.098          -0.026      0.11158416     0.019876908     0.010350959     -0.36698213
            0.1          -0.098          -0.022      0.12042199     0.015142821    0.0010860906     -0.37015772
            0.1          -0.098          -0.018      0.12440246    0.0085423692   -0.0056324692     -0.37369004
            0.1          -0.098          -0.014       0.1251235    0.0018970469   -0.0082148116     -0.37676098
            0.1          -0.098           -0.01      0.12376852   -0.0038192986   -0.0064489778     -0.37884621
            0.1          -0.098          -0.006      0.12093332   -0.0080991985  -0.00088536086     -0.37998815
            0.1          -0.098          -0.002      0.11741924    -0.010573142    0.0073813906     -0.38064324
            0.1          -0.098           0.002      0.11421977    -0.010677801         0.01692     -0.38138143
            0.1          -0.098           0.006      0.11202669    -0.007671926     0.025709745     -0.38251877
            0.1          -0.098            0.01      0.11142884   -0.0015909144     0.031004673     -0.38393726
            0.1          -0.098           0.014      0.11213756    0.0053545409     0.030269386     -0.38528492
            0.1          -0.098           0.018      0.11277039    0.0089787523     0.022295974     -0.38625018
            0.1          -0.098           0.022      0.11266602    0.0065029955     0.010350116     -0.38693561
            0.1          -0.098           0.026      0.11255053    0.0028216664   -0.0012570117     -0.38805628
            0.1          -0.098            0.03      0.10979571    0.0064457431    -0.015298849     -0.39004208
            0.1          -0.098           0.034     0.098098314     0.016076402    -0.033358431     -0.39245748
            0.1          -0.098           0.038     0.074261652     0.022108178     -0.04886178     -0.39452161
            0.1          -0.098           0.042     0.041706947     0.020060458    -0.054377961      -0.3959469
            0.1          -0.098           0.046    0.0088563729     0.015567277    -0.052094107     -0.39685994
            0.1          -0.098            0.05    -0.020575597     0.013435277    -0.049156311     -0.39685236
            0.1          -0.098           0.054     -0.04894522     0.012522966    -0.047910921     -0.39544339
            0.1          -0.098           0.058    -0.078031928     0.012174995    -0.048302973     -0.39266201
            0.1          -0.098           0.062     -0.10762183     0.013059216    -0.049482742     -0.38865091
            0.1          -0.098           0.066     -0.13516778     0.015358619    -0.050420004     -0.38354854
            0.1          -0.098            0.07     -0.15773279     0.018368899    -0.050255095     -0.37771652
            0.1          -0.098           0.074     -0.17344934     0.021209003    -0.048617058     -0.37180288
            0.1          -0.098           0.078     -0.18083581     0.022838067    -0.045088836     -0.36654515
            0.1          -0.098           0.082     -0.17856348     0.021750457    -0.039612273     -0.36251644
            0.1          -0.098           0.086     -0.16343741     0.017483678    -0.032329638     -0.35971981
            0.1          -0.098            0.09     -0.12294541     0.012003226    -0.021528517     -0.35784618
