#             x               y               z             U_x             U_y             U_z               p
           0.13          -0.094            0.01      0.25027512    -0.032063944     0.043436612     -0.39405877
           0.13          -0.094           0.014      0.24437125    -0.025663476     0.063276579     -0.39488822
           0.13          -0.094           0.018      0.24242023   -0.0083490726     0.082159401     -0.39621661
           0.13          -0.094           0.022      0.24681533     0.011999032       0.0950231     -0.39760436
           0.13          -0.094           0.026       0.2553447      0.02008341     0.094096831     -0.39891334
           0.13          -0.094            0.03       0.2612245     0.023206063     0.089878538      -0.4012626
           0.13          -0.094           0.034      0.23999147     0.037101477     0.078682808     -0.40461544
           0.13          -0.094           0.038      0.17602793     0.044616177     0.058809956     -0.40749136
           0.13          -0.094           0.042     0.091938071     0.033128623     0.045396523     -0.40906822
           0.13          -0.094           0.046     0.021845183     0.028550841     0.044135442     -0.40913947
           0.13          -0.094            0.05    -0.061358166     0.040209257     0.056349413     -0.40862261
           0.13          -0.094           0.054     -0.12959448      0.02695042     0.056432676     -0.40715538
           0.13          -0.094           0.058      -0.2073359     0.011464443     0.045367171     -0.40494424
           0.13          -0.094           0.062     -0.29507308     0.016690159     0.035737356      -0.4023274
           0.13          -0.094           0.066     -0.37258226       0.0257407     0.026374902     -0.39930795
           0.13          -0.094            0.07     -0.43487407     0.028727256     0.016940966     -0.39637687
           0.13          -0.094           0.074     -0.48785868     0.029090036    0.0070840512     -0.39346286
           0.13          -0.094           0.078     -0.53513123     0.029230043   -0.0019612592     -0.39045902
           0.13          -0.094           0.082       -0.577271     0.029441423    -0.010083961     -0.38740268
           0.13          -0.094           0.086     -0.61364376     0.029236715    -0.016255564      -0.3842487
           0.13          -0.094            0.09     -0.64139389     0.027657759    -0.021589169     -0.38127639
           0.13          -0.094           0.094     -0.62607751     0.025247099    -0.020138369     -0.37763017
           0.13          -0.094           0.098     -0.38905642      0.01488794    -0.014095359     -0.37650676
           0.13           -0.09          -0.098      0.03028431     0.017846833   -0.0091387888     -0.35088153
           0.13           -0.09          -0.094     -0.31883758     0.061410081     0.046514525     -0.34989796
           0.13           -0.09           -0.09     -0.55216104     0.092823502     0.085655172      -0.3519525
           0.13           -0.09          -0.086     -0.60359829      0.09866337     0.097353753      -0.3562059
           0.13           -0.09          -0.082      -0.5947996     0.096662859      0.10177891     -0.35902855
           0.13           -0.09          -0.078      -0.5713014     0.094021097       0.1037733     -0.36183099
           0.13           -0.09          -0.074     -0.53979387     0.088125175      0.10341724     -0.36540566
           0.13           -0.09           -0.07     -0.50534676      0.08145532      0.10119882     -0.36979746
           0.13           -0.09          -0.066     -0.46829512     0.075805705     0.097109559     -0.37438892
           0.13           -0.09          -0.062     -0.42832076     0.071313015       0.0919803     -0.37880795
           0.13           -0.09          -0.058     -0.38600911     0.067908243     0.086497836     -0.38278615
           0.13           -0.09          -0.054     -0.34128303     0.065554148     0.081233678     -0.38623386
           0.13           -0.09           -0.05     -0.29206367     0.064096887     0.076893388     -0.38916963
           0.13           -0.09          -0.046     -0.23621144     0.063254929     0.074882351     -0.39154963
           0.13           -0.09          -0.042     -0.17138942     0.063142219     0.076453947     -0.39330781
           0.13           -0.09          -0.038    -0.083351753     0.063379169     0.092928043     -0.39438491
           0.13           -0.09          -0.034     0.029081595     0.052912701      0.11432282     -0.39523863
           0.13           -0.09           -0.03      0.15785535     0.019343545      0.12617562     -0.39463798
           0.13           -0.09          -0.026      0.27498683   -0.0027769602      0.13002117      -0.3934128
           0.13           -0.09          -0.022      0.31991118     0.020475471      0.10356009     -0.39367555
           0.13           -0.09          -0.018      0.31056891     0.059507597     0.060774572      -0.3936833
           0.13           -0.09          -0.014      0.29598783     0.074558607     0.030006778     -0.39450159
           0.13           -0.09           -0.01       0.2823481     0.059200411     0.014007861     -0.39540989
           0.13           -0.09          -0.006       0.2704806     0.031039365    0.0065528996      -0.3964666
           0.13           -0.09          -0.002      0.26176924    0.0018431592    0.0064742682     -0.39677412
           0.13           -0.09           0.002      0.25675154    -0.023837368     0.012908178     -0.39636102
           0.13           -0.09           0.006      0.25315172    -0.042218973      0.02416053     -0.39570627
           0.13           -0.09            0.01      0.24865091    -0.049313744     0.037548435     -0.39542265
           0.13           -0.09           0.014      0.24316847    -0.042693545     0.051189569     -0.39587512
           0.13           -0.09           0.018      0.24166373     -0.02020509     0.065046549     -0.39696325
           0.13           -0.09           0.022      0.25058855      0.01182049     0.077230932     -0.39825317
           0.13           -0.09           0.026       0.2698769     0.032894341     0.081818955     -0.39949022
           0.13           -0.09            0.03      0.26893454     0.045707182     0.068461277     -0.40206641
           0.13           -0.09           0.034      0.23043664     0.057319464     0.046026456     -0.40549927
           0.13           -0.09           0.038      0.14050474     0.039605323     0.033312635     -0.40820756
           0.13           -0.09           0.042     0.054564236     0.011301235     0.034320312     -0.40924966
           0.13           -0.09           0.046     -0.00564316    0.0034594025     0.035076365     -0.40898225
           0.13           -0.09            0.05    -0.059559751     0.017845723      0.04182253     -0.40773358
           0.13           -0.09           0.054     -0.14272477     0.018248453     0.045255509     -0.40585574
           0.13           -0.09           0.058     -0.24312426     0.022101068     0.037712909       -0.403925
           0.13           -0.09           0.062     -0.33016777     0.032287538     0.027477859     -0.40139373
           0.13           -0.09           0.066     -0.39819128     0.038889648     0.017933226     -0.39857203
           0.13           -0.09            0.07     -0.45192172     0.040360286    0.0097061984     -0.39599439
           0.13           -0.09           0.074     -0.49875832     0.039909772    0.0024043494     -0.39348313
           0.13           -0.09           0.078     -0.54194891     0.039193351   -0.0036125899     -0.39092416
           0.13           -0.09           0.082     -0.58191043     0.038503972   -0.0083951303     -0.38834245
