#             x               y               z             U_x             U_y             U_z               p
           0.35          -0.098          -0.098     -0.35677904   -0.0041189947   -0.0032661988     -0.14050616
           0.35          -0.098          -0.094     -0.40314404   -0.0036422573     -0.01034013     -0.14082743
           0.35          -0.098           -0.09     -0.41241461   -0.0024398534    -0.022265177     -0.14136603
           0.35          -0.098          -0.086     -0.41997013   -0.0028335964    -0.033193451     -0.14227053
           0.35          -0.098          -0.082     -0.42843527   -0.0037585255    -0.044733906      -0.1432685
           0.35          -0.098          -0.078     -0.43608397    -0.005159205    -0.054639371     -0.14442733
           0.35          -0.098          -0.074     -0.44110725   -0.0062374138    -0.062864874     -0.14562542
           0.35          -0.098           -0.07     -0.44262026   -0.0068077419    -0.069267211     -0.14682033
           0.35          -0.098          -0.066     -0.44040721   -0.0068060142    -0.074214016     -0.14792265
           0.35          -0.098          -0.062     -0.43466295      -0.0062979    -0.078125522     -0.14885998
           0.35          -0.098          -0.058     -0.42576071   -0.0052512984     -0.08144189     -0.14956972
           0.35          -0.098          -0.054     -0.41407527   -0.0039930375    -0.084528075     -0.14997683
           0.35          -0.098           -0.05     -0.40012369   -0.0028797821      -0.0875884     -0.15002144
           0.35          -0.098          -0.046     -0.38429254   -0.0017394992    -0.090643202     -0.14970534
           0.35          -0.098          -0.042     -0.36686805   -0.0007454578    -0.093478567      -0.1490178
           0.35          -0.098          -0.038     -0.34803145   7.3834543e-05    -0.095746118     -0.14798727
           0.35          -0.098          -0.034     -0.32797912   0.00059935218    -0.097140839     -0.14666627
           0.35          -0.098           -0.03     -0.30703804   0.00075906928    -0.097345403     -0.14508757
           0.35          -0.098          -0.026     -0.28568918   0.00054961671    -0.095940925      -0.1432998
           0.35          -0.098          -0.022     -0.26455554  -0.00023821132    -0.092567651     -0.14137368
           0.35          -0.098          -0.018     -0.24438969   -0.0014314213    -0.086925429     -0.13940872
           0.35          -0.098          -0.014     -0.22591028   -0.0026731146    -0.079039373     -0.13752756
           0.35          -0.098           -0.01     -0.20956708   -0.0040407482     -0.06897605     -0.13580038
           0.35          -0.098          -0.006     -0.19573282   -0.0054529143    -0.056857441     -0.13431292
           0.35          -0.098          -0.002     -0.18531217   -0.0067762817    -0.043075001     -0.13317214
           0.35          -0.098           0.002     -0.17880711   -0.0071137992    -0.027874116     -0.13234368
           0.35          -0.098           0.006     -0.17641574   -0.0066126228    -0.012807425     -0.13187955
           0.35          -0.098            0.01     -0.17828461   -0.0067156545    0.0024650349     -0.13180157
           0.35          -0.098           0.014       -0.184593   -0.0066598301     0.017296025     -0.13209903
           0.35          -0.098           0.018     -0.19452371   -0.0066348729      0.03140342      -0.1327346
           0.35          -0.098           0.022     -0.20794745   -0.0059496172     0.044572589     -0.13364421
           0.35          -0.098           0.026     -0.22399623   -0.0047876585     0.055767563     -0.13477949
           0.35          -0.098            0.03       -0.242897    -0.003529612     0.065073913     -0.13611195
           0.35          -0.098           0.034     -0.26305313   -0.0025762705     0.072318065     -0.13754297
           0.35          -0.098           0.038     -0.28422413   -0.0016771123     0.077464208     -0.13898146
           0.35          -0.098           0.042     -0.30593652   -0.0012418917     0.080618259       -0.140331
           0.35          -0.098           0.046     -0.32750512   -0.0013353509     0.082052049     -0.14147535
           0.35          -0.098            0.05     -0.34842864   -0.0017390755     0.081966717     -0.14235569
           0.35          -0.098           0.054     -0.36829744   -0.0023365531     0.080564999     -0.14292374
           0.35          -0.098           0.058     -0.38658883   -0.0030732705     0.078157444     -0.14310921
           0.35          -0.098           0.062     -0.40276919   -0.0039899882     0.075036996     -0.14290358
           0.35          -0.098           0.066     -0.41626071   -0.0049898698     0.071275051     -0.14233852
           0.35          -0.098            0.07     -0.42638133   -0.0056386853     0.066684231     -0.14147254
           0.35          -0.098           0.074      -0.4326357   -0.0057493743      0.06091549     -0.14036311
           0.35          -0.098           0.078     -0.43459108    -0.005398968      0.05359223     -0.13908616
           0.35          -0.098           0.082     -0.43223403   -0.0046084283     0.044614252     -0.13771998
           0.35          -0.098           0.086     -0.42613827   -0.0036601304     0.033587364     -0.13646488
           0.35          -0.098            0.09     -0.41807006   -0.0030880988     0.022337941      -0.1353041
           0.35          -0.098           0.094     -0.40730122   -0.0044428845     0.010177026     -0.13453437
           0.35          -0.098           0.098     -0.36214808   -0.0047740469     0.003138647     -0.13410754
           0.35          -0.094          -0.098     -0.40267705    -0.010935756    -0.004032378     -0.14057772
