#             x               y               z             U_x             U_y             U_z               p
            0.1          -0.098          -0.098     0.067128443    -0.007950788     0.012883147     -0.32870092
            0.1          -0.098          -0.094     0.084526936    -0.008671605     0.024999624     -0.32939257
            0.1          -0.098           -0.09     0.084243184   -0.0078216323     0.035218667     -0.33080367
            0.1          -0.098          -0.086     0.078679377   -0.0049522158     0.042951124     -0.33249705
            0.1          -0.098          -0.082     0.072756936   -0.0014341286     0.048301496     -0.33399928
            0.1          -0.098          -0.078     0.067766442   0.00099860874       0.0518423     -0.33537374
            0.1          -0.098          -0.074     0.063523975    0.0020236632     0.054072472     -0.33672866
            0.1          -0.098           -0.07      0.05936594    0.0020734993     0.055528664        -0.33818
            0.1          -0.098          -0.066     0.054715422    0.0017110257     0.056177636     -0.33984453
            0.1          -0.098          -0.062      0.04958153    0.0015373148      0.05574205     -0.34170543
            0.1          -0.098          -0.058     0.044511273    0.0020927083     0.054117579     -0.34364078
            0.1          -0.098          -0.054     0.039896791    0.0035315319     0.051043325     -0.34549108
            0.1          -0.098           -0.05     0.035891041    0.0055970126     0.046263386     -0.34712909
            0.1          -0.098          -0.046     0.032953549    0.0079047896     0.040086837     -0.34853008
            0.1          -0.098          -0.042     0.032234805     0.010240936     0.033519184     -0.34978104
            0.1          -0.098          -0.038     0.034737237     0.012429342     0.027761773     -0.35103357
            0.1          -0.098          -0.034     0.040767751     0.014247029     0.023488243     -0.35244561
            0.1          -0.098           -0.03     0.049603709     0.015448845     0.020297033     -0.35412926
            0.1          -0.098          -0.026     0.059600843     0.015760925     0.017128524     -0.35613381
            0.1          -0.098          -0.022     0.069395851     0.015134575     0.013224504     -0.35844379
            0.1          -0.098          -0.018     0.078365851     0.013790353    0.0087177876     -0.36096383
            0.1          -0.098          -0.014     0.086135038     0.012132005    0.0041843271     -0.36352056
            0.1          -0.098           -0.01     0.092388763     0.010483478  -0.00010175561      -0.3659015
            0.1          -0.098          -0.006     0.097066365    0.0089059762   -0.0038478043     -0.36792586
            0.1          -0.098          -0.002      0.10019088     0.007244035   -0.0068119859     -0.36947567
            0.1          -0.098           0.002      0.10182302    0.0050260498   -0.0088145843     -0.37048301
            0.1          -0.098           0.006      0.10214445     0.002007642   -0.0096004479     -0.37091086
            0.1          -0.098            0.01      0.10151588   -0.0015338734    -0.008927831     -0.37077917
            0.1          -0.098           0.014      0.10040358   -0.0050106088   -0.0062699257     -0.37018527
            0.1          -0.098           0.018     0.098680632   -0.0078698996    -0.001227049     -0.36928837
            0.1          -0.098           0.022     0.093247629   -0.0087635799    0.0064965835      -0.3683949
            0.1          -0.098           0.026      0.07749956   -0.0061072774     0.015892639     -0.36797298
            0.1          -0.098            0.03     0.046571738  -0.00093805288     0.023298115     -0.36823155
            0.1          -0.098           0.034    0.0066154242    0.0025831128     0.024212395     -0.36878436
            0.1          -0.098           0.038    -0.023708713   8.3350735e-05     0.017187303     -0.36890792
            0.1          -0.098           0.042    -0.037678947   -0.0059843507    0.0082368533     -0.36814276
            0.1          -0.098           0.046    -0.045257364    -0.010461529    0.0030865037      -0.3665672
            0.1          -0.098            0.05    -0.052400799    -0.011761101    0.0012844437     -0.36453342
            0.1          -0.098           0.054    -0.060132775   -0.0091556434    0.0011548052     -0.36240166
            0.1          -0.098           0.058    -0.068291436   -0.0034623719   0.00041713184     -0.36040972
            0.1          -0.098           0.062    -0.078116506    0.0023007813   -0.0023338159     -0.35865057
            0.1          -0.098           0.066    -0.094676908    0.0062539308   -0.0060253572     -0.35708654
            0.1          -0.098            0.07     -0.11954795    0.0093454099   -0.0099331529     -0.35544975
            0.1          -0.098           0.074     -0.14705248     0.012302496    -0.013791991     -0.35328314
            0.1          -0.098           0.078     -0.16981385     0.014681598    -0.016755816     -0.35039377
            0.1          -0.098           0.082     -0.18275095     0.015721066    -0.018001106      -0.3471608
            0.1          -0.098           0.086     -0.18269674     0.014339672    -0.017466522     -0.34422561
            0.1          -0.098            0.09      -0.1584006     0.010629444    -0.014248804     -0.34186458
            0.1          -0.098           0.094    -0.094995613    0.0076184022   -0.0071903103     -0.34017115
            0.1          -0.098           0.098  -2.1187349e-13   1.7689737e-14  -1.7163504e-14     -0.33941598
            0.1          -0.094          -0.098     0.092745871    -0.013581121    0.0072719325     -0.32930282
            0.1          -0.094          -0.094      0.16432218    -0.020853181     0.023620696     -0.33011956
            0.1          -0.094           -0.09      0.17266976    -0.019208802     0.037656542     -0.33150784
            0.1          -0.094          -0.086      0.16515427    -0.014530045      0.05069284     -0.33309464
            0.1          -0.094          -0.082      0.15515695   -0.0072780587     0.062919343     -0.33443253
            0.1          -0.094          -0.078      0.14628274  -0.00059913305     0.073687897     -0.33553212
            0.1          -0.094          -0.074      0.13845458    0.0031808793      0.08274959     -0.33663159
            0.1          -0.094           -0.07      0.13093624    0.0042887793     0.089963912     -0.33796473
            0.1          -0.094          -0.066      0.12284321    0.0042173467     0.095246253     -0.33962502
            0.1          -0.094          -0.062      0.11383152    0.0044160399     0.098120294     -0.34150868
            0.1          -0.094          -0.058      0.10457851    0.0059197669     0.098493971     -0.34344265
            0.1          -0.094          -0.054      0.09598154    0.0092275237     0.096698142      -0.3452897
            0.1          -0.094           -0.05     0.088401218     0.014115667     0.092644958     -0.34697293
            0.1          -0.094          -0.046     0.082110146     0.019892151     0.086077038     -0.34848531
            0.1          -0.094          -0.042      0.07823416     0.025923551     0.077557671     -0.34988636
            0.1          -0.094          -0.038     0.078785043     0.031737915     0.068610028      -0.3512949
            0.1          -0.094          -0.034     0.085129454     0.036797765     0.060756196     -0.35286467
            0.1          -0.094           -0.03     0.097141857     0.040389088     0.054664702     -0.35472455
            0.1          -0.094          -0.026      0.11315088     0.041895821     0.049504856     -0.35691977
            0.1          -0.094          -0.022      0.13060334     0.041135782     0.043809977     -0.35940099
            0.1          -0.094          -0.018      0.14755244     0.038334728     0.036810087     -0.36204726
            0.1          -0.094          -0.014      0.16308162     0.034109126     0.028855203     -0.36467995
            0.1          -0.094           -0.01      0.17667844     0.029251913     0.020883614     -0.36709525
            0.1          -0.094          -0.006      0.18781658     0.024268577      0.01358783     -0.36912216
            0.1          -0.094          -0.002      0.19613602     0.019182346    0.0076700544     -0.37064945
            0.1          -0.094           0.002       0.2013853     0.013708152    0.0036495132     -0.37161709
            0.1          -0.094           0.006      0.20358536    0.0073606718    0.0016941634     -0.37199923
            0.1          -0.094            0.01      0.20332365   8.3224596e-05    0.0017760992     -0.37181343
            0.1          -0.094           0.014      0.20173955    -0.007479401    0.0039568595     -0.37115131
            0.1          -0.094           0.018       0.1997531    -0.014337451    0.0089886573     -0.37017448
            0.1          -0.094           0.022       0.1957166    -0.019288377     0.017896878     -0.36913661
            0.1          -0.094           0.026      0.18098199     -0.02016446     0.031599952     -0.36849738
            0.1          -0.094            0.03      0.14363542    -0.015417194     0.048083431     -0.36863282
            0.1          -0.094           0.034     0.082430909   -0.0082640114      0.05997913     -0.36922245
            0.1          -0.094           0.038     0.014525136   -0.0052534936     0.059539556     -0.36942503
            0.1          -0.094           0.042    -0.036583595    -0.010576364     0.046273831     -0.36873847
            0.1          -0.094           0.046    -0.067336512    -0.020013945     0.029662222     -0.36726968
            0.1          -0.094            0.05    -0.090755906    -0.025952682     0.017843597     -0.36537727
            0.1          -0.094           0.054     -0.11481203    -0.024342661     0.011287851     -0.36336137
            0.1          -0.094           0.058     -0.14213306    -0.014034051    0.0078737705     -0.36135367
            0.1          -0.094           0.062     -0.17491359    0.0011703102    0.0042419837     -0.35942588
            0.1          -0.094           0.066     -0.21606626     0.014622961   -0.0016522317     -0.35765693
            0.1          -0.094            0.07     -0.26775752     0.023785214   -0.0091345076     -0.35593624
            0.1          -0.094           0.074     -0.32625254     0.030432216    -0.017258128     -0.35389844
            0.1          -0.094           0.078     -0.38245991     0.035606916    -0.024940188     -0.35131533
            0.1          -0.094           0.082     -0.42716633     0.038858127    -0.030523248     -0.34837115
            0.1          -0.094           0.086     -0.45085472     0.039118213    -0.032993078     -0.34548737
            0.1          -0.094            0.09     -0.43473441     0.035143821    -0.031270705     -0.34288773
            0.1          -0.094           0.094     -0.33250217     0.027661583    -0.023059861     -0.34090035
            0.1          -0.094           0.098    -0.094995613    0.0076184022   -0.0071903103     -0.33999456
            0.1           -0.09          -0.098     0.097400907   -0.0097040369    -0.001734443      -0.3299479
            0.1           -0.09          -0.094       0.1863562     -0.02144694    0.0013889815     -0.33079389
            0.1           -0.09           -0.09      0.17804981    -0.018917298     0.001412794     -0.33208711
            0.1           -0.09          -0.086      0.16144725    -0.015016134    0.0029789802     -0.33342288
            0.1           -0.09          -0.082      0.14977295    -0.009767923    0.0097957065     -0.33451434
            0.1           -0.09          -0.078      0.14155025   -0.0045186213     0.022004441     -0.33535123
            0.1           -0.09          -0.074      0.13440295   -0.0010550543      0.03712535      -0.3362375
            0.1           -0.09           -0.07      0.12731728      0.00057978     0.052571239     -0.33750141
            0.1           -0.09          -0.066      0.12021903    0.0016163354     0.066316824      -0.3392082
            0.1           -0.09          -0.062      0.11311458    0.0034138813     0.076959902     -0.34115983
            0.1           -0.09          -0.058      0.10626196    0.0067954851     0.083935099     -0.34310864
            0.1           -0.09          -0.054      0.10013621     0.011952122       0.0877666     -0.34492131
            0.1           -0.09           -0.05     0.094986139     0.018637649     0.089273329     -0.34658429
            0.1           -0.09          -0.046     0.090841691     0.026377536     0.088962229     -0.34814832
            0.1           -0.09          -0.042     0.088004163     0.034603449     0.087180476     -0.34969335
            0.1           -0.09          -0.038       0.0875663     0.042673304     0.084555783     -0.35132475
            0.1           -0.09          -0.034     0.090868823     0.049896182     0.081876244     -0.35315566
            0.1           -0.09           -0.03     0.098361481     0.055298322     0.079523461     -0.35529242
            0.1           -0.09          -0.026      0.10932831     0.057862399        0.077222     -0.35777573
            0.1           -0.09          -0.022      0.12224483     0.057190147     0.074185239     -0.36052609
            0.1           -0.09          -0.018       0.1355762     0.053697444     0.069850081     -0.36338261
            0.1           -0.09          -0.014       0.1483268     0.048152949      0.06426313     -0.36615177
            0.1           -0.09           -0.01      0.15992416      0.04131483     0.057933328     -0.36864097
            0.1           -0.09          -0.006      0.16997488     0.033780563     0.051641883     -0.37069253
            0.1           -0.09          -0.002      0.17803739     0.025795146     0.046237292     -0.37220051
            0.1           -0.09           0.002      0.18370575     0.017351722     0.042478041     -0.37310137
            0.1           -0.09           0.006      0.18681587     0.008481591     0.040847336     -0.37337635
            0.1           -0.09            0.01      0.18767342  -0.00044666186     0.041381037     -0.37306571
            0.1           -0.09           0.014      0.18711126   -0.0087808785     0.043701935     -0.37228239
            0.1           -0.09           0.018      0.18617861    -0.015834916     0.047489257     -0.37120339
