#             x               y               z             U_x             U_y             U_z               p
           0.13          -0.098          -0.098    -0.012414097   -0.0015583174   7.2847373e-05     -0.32573154
           0.13          -0.098          -0.094     0.014860904   -0.0046643037    0.0081126469     -0.32570903
           0.13          -0.098           -0.09     0.040107488   -0.0091464194     0.018831488     -0.32557459
           0.13          -0.098          -0.086     0.050698808    -0.012297281      0.03160968     -0.32535204
           0.13          -0.098          -0.082     0.054644325    -0.012935093     0.047889938     -0.32544503
           0.13          -0.098          -0.078     0.051763672     -0.01134037     0.065526402     -0.32604551
           0.13          -0.098          -0.074       0.0452776    -0.010825584     0.082619684        -0.32725
           0.13          -0.098           -0.07     0.039604567    -0.012483154     0.099857968     -0.32910271
           0.13          -0.098          -0.066     0.034964772    -0.015681951      0.11910866     -0.33170176
           0.13          -0.098          -0.062     0.029354301    -0.019270936       0.1390317     -0.33506445
           0.13          -0.098          -0.058     0.026789517    -0.023235062      0.15816287     -0.33911508
           0.13          -0.098          -0.054      0.02757053    -0.025360745      0.17613751     -0.34377975
           0.13          -0.098           -0.05     0.032086546    -0.024992744      0.19286162     -0.34897954
           0.13          -0.098          -0.046     0.040611131    -0.023224933      0.20793049     -0.35454166
           0.13          -0.098          -0.042     0.051890261    -0.020128706      0.22018271     -0.36018323
           0.13          -0.098          -0.038     0.068906273    -0.016533359      0.22812387     -0.36553509
           0.13          -0.098          -0.034     0.088755798    -0.012027295      0.23086777      -0.3702164
           0.13          -0.098           -0.03      0.11118406   -0.0071830141      0.22727409     -0.37400288
           0.13          -0.098          -0.026      0.13292688   -0.0029937967      0.21822837      -0.3766088
           0.13          -0.098          -0.022      0.15230439   -0.0011727007      0.20383627     -0.37815644
           0.13          -0.098          -0.018      0.16797886   -0.0017507429      0.18419162     -0.37803836
           0.13          -0.098          -0.014      0.17444741   -0.0014038075       0.1595747     -0.37670348
           0.13          -0.098           -0.01      0.16979603    0.0013628394      0.13018439     -0.37459491
           0.13          -0.098          -0.006      0.15103607    0.0052172946     0.092842892     -0.37239547
           0.13          -0.098          -0.002      0.11512277    0.0066863703     0.043555877     -0.37125927
           0.13          -0.098           0.002     0.084397778    0.0098313784    0.0091000316     -0.37091481
           0.13          -0.098           0.006     0.091638993     0.015070696   -0.0081462909     -0.37081856
           0.13          -0.098            0.01      0.11182202     0.018311823    -0.028328848     -0.37064758
           0.13          -0.098           0.014      0.12246203     0.017691776    -0.046554077     -0.37028121
           0.13          -0.098           0.018      0.11796788      0.01592641    -0.057803066     -0.36949169
           0.13          -0.098           0.022      0.10105404     0.012323161    -0.063708555     -0.36828126
           0.13          -0.098           0.026     0.084111936    0.0033563271    -0.070736595     -0.36697803
           0.13          -0.098            0.03     0.075136181   -0.0087090813    -0.075675902      -0.3652905
           0.13          -0.098           0.034     0.066692493    -0.015901228    -0.071790764      -0.3631843
           0.13          -0.098           0.038     0.056880348    -0.019250168    -0.061400292      -0.3611442
           0.13          -0.098           0.042     0.044364865    -0.019435488    -0.046127088     -0.35945891
           0.13          -0.098           0.046      0.02431025    -0.015971644    -0.029366627      -0.3583855
           0.13          -0.098            0.05     0.001344844   -0.0094214179    -0.016196916     -0.35792588
           0.13          -0.098           0.054     -0.02675052   -0.0032878266   -0.0087180028     -0.35778172
           0.13          -0.098           0.058    -0.065092242    0.0020004133   -0.0027882093     -0.35773757
           0.13          -0.098           0.062     -0.11672245    0.0073461054    0.0029350859     -0.35771699
           0.13          -0.098           0.066     -0.17875791     0.011955257    0.0074466118     -0.35765323
           0.13          -0.098            0.07     -0.24336986     0.014000091    0.0077860299     -0.35764927
           0.13          -0.098           0.074     -0.30529667     0.014032944    0.0046409674     -0.35771007
           0.13          -0.098           0.078     -0.36105914     0.013521221  -0.00026653707     -0.35763384
           0.13          -0.098           0.082      -0.4010461     0.013185369    -0.006678027     -0.35741983
           0.13          -0.098           0.086     -0.41903202     0.013293413    -0.011387604     -0.35693606
           0.13          -0.098            0.09     -0.40426491     0.012441514    -0.014845264     -0.35657983
           0.13          -0.098           0.094     -0.31575486    0.0097591521   -0.0073151595     -0.35655163
           0.13          -0.098           0.098     -0.19573323    0.0033590222   -0.0030563953      -0.3562667
           0.13          -0.094          -0.098      0.02078953   -0.0073062267    0.0003174405      -0.3257655
           0.13          -0.094          -0.094      0.10939798   -0.0098931891     0.017547767     -0.32548584
           0.13          -0.094           -0.09      0.14021379    -0.014683482     0.031700865     -0.32479238
           0.13          -0.094          -0.086      0.13193034    -0.017092841     0.043014629     -0.32427818
           0.13          -0.094          -0.082      0.10792396     -0.01623506     0.058135911     -0.32460871
           0.13          -0.094          -0.078     0.077183567    -0.013910824     0.074710548     -0.32537838
           0.13          -0.094          -0.074     0.045064212    -0.011774135     0.089694575     -0.32612778
           0.13          -0.094           -0.07    0.0080498613   -0.0067604969      0.10617915     -0.32730655
           0.13          -0.094          -0.066     -0.03590143    0.0049934905      0.13161021     -0.32927019
           0.13          -0.094          -0.062    -0.083393479     0.020753698      0.16549196     -0.33215364
           0.13          -0.094          -0.058     -0.12342761     0.038267649      0.19710368     -0.33620617
           0.13          -0.094          -0.054     -0.14714913     0.052064681      0.22387834     -0.34135623
           0.13          -0.094           -0.05     -0.15359827     0.060775349       0.2431371     -0.34738744
           0.13          -0.094          -0.046     -0.14401842     0.064953297      0.25698982     -0.35399887
           0.13          -0.094          -0.042     -0.12197698      0.06603147       0.2677253     -0.36069622
           0.13          -0.094          -0.038    -0.087526884     0.065016644      0.27807535     -0.36693521
           0.13          -0.094          -0.034    -0.041672651     0.062384123      0.28524462     -0.37248135
           0.13          -0.094           -0.03     0.014327854     0.055946646      0.29775257     -0.37660531
           0.13          -0.094          -0.026     0.075390027     0.045290605       0.2970661     -0.37910138
           0.13          -0.094          -0.022      0.13482128      0.03162734      0.28337141     -0.38016683
           0.13          -0.094          -0.018      0.18183656     0.018216886      0.25044719     -0.37905913
           0.13          -0.094          -0.014      0.20500665     0.010653365      0.20066489     -0.37712324
           0.13          -0.094           -0.01      0.20431604     0.012668455      0.14894194     -0.37492068
