#             x               y               z             U_x             U_y             U_z               p
           0.35          -0.094          -0.006     -0.12661554    -0.011199215    -0.024094359     -0.14068014
           0.35          -0.094          -0.002     -0.11255505    -0.011824781    -0.012711845     -0.14030046
           0.35          -0.094           0.002     -0.10234531    -0.012191835  -0.00049839939     -0.14015372
           0.35          -0.094           0.006    -0.096359741    -0.012226595     0.012211832     -0.14031077
           0.35          -0.094            0.01    -0.094920074    -0.011946894     0.024965325     -0.14079004
           0.35          -0.094           0.014    -0.098190636    -0.011408755     0.037428843     -0.14150597
           0.35          -0.094           0.018     -0.10625381    -0.010378578     0.049363905     -0.14236039
           0.35          -0.094           0.022     -0.11898277   -0.0089447297     0.060548055     -0.14338118
           0.35          -0.094           0.026     -0.13607607   -0.0072583125     0.070652282      -0.1445561
           0.35          -0.094            0.03     -0.15712726   -0.0054794022     0.079389599      -0.1458123
           0.35          -0.094           0.034     -0.18153763   -0.0037751635     0.086573491     -0.14706788
           0.35          -0.094           0.038     -0.20841199   -0.0022358981     0.092047919     -0.14830921
           0.35          -0.094           0.042     -0.23685049   -0.0012832451     0.095680733     -0.14958349
           0.35          -0.094           0.046     -0.26622964  -0.00065334907     0.097611544     -0.15070719
           0.35          -0.094            0.05     -0.29574622  -0.00027238038     0.097636299     -0.15165389
           0.35          -0.094           0.054     -0.32467792  -0.00056902419     0.096074238     -0.15232979
           0.35          -0.094           0.058     -0.35240007   -0.0016764427     0.093144273     -0.15260146
           0.35          -0.094           0.062     -0.37848829   -0.0032904116     0.089027595     -0.15246982
           0.35          -0.094           0.066      -0.4024158   -0.0051182774     0.083875898     -0.15191471
           0.35          -0.094            0.07     -0.42352829   -0.0069845821      0.07769992     -0.15092232
           0.35          -0.094           0.074     -0.44107047   -0.0087426939     0.070448056     -0.14951571
           0.35          -0.094           0.078     -0.45411421    -0.010256245     0.061937871     -0.14780222
           0.35          -0.094           0.082     -0.46165449    -0.011369745     0.052002675     -0.14592329
           0.35          -0.094           0.086     -0.46298354    -0.012246031     0.040367837     -0.14414222
           0.35          -0.094            0.09     -0.45865064    -0.013034615     0.027516581     -0.14260293
           0.35          -0.094           0.094     -0.44889152    -0.014727031     0.014620726      -0.1413864
           0.35          -0.094           0.098     -0.41176091    -0.013541937    0.0034253997     -0.14046682
           0.35           -0.09          -0.098      -0.4073939    -0.021845307   -0.0032979786       -0.135382
           0.35           -0.09          -0.094     -0.44327125    -0.025565409    -0.015184615     -0.13634494
           0.35           -0.09           -0.09     -0.45184323    -0.026649532    -0.025720184     -0.13782637
           0.35           -0.09          -0.086     -0.45324759     -0.02806336     -0.03496584     -0.13932028
           0.35           -0.09          -0.082     -0.44961595    -0.029130286    -0.042305537     -0.14090705
           0.35           -0.09          -0.078     -0.44168012    -0.029529091    -0.048021491     -0.14254122
           0.35           -0.09          -0.074     -0.43028524    -0.029044342    -0.052510613     -0.14407884
           0.35           -0.09           -0.07      -0.4161809    -0.027729051    -0.056081701     -0.14544394
           0.35           -0.09          -0.066     -0.39994429    -0.025712422    -0.059003098     -0.14657241
           0.35           -0.09          -0.062     -0.38197539    -0.023185102    -0.061462496       -0.147436
