#       point_x         point_y         point_z             U_x             U_y             U_z               p
           0.13          -0.096          -0.096     -0.94834359     0.014367334    -0.010896602      -0.8040004
           0.13            -0.1          -0.096               0               0               0     -0.80421229
           0.13            -0.1            -0.1               0               0               0     -0.80382992
           0.13          -0.096            -0.1               0               0               0     -0.80366869
           0.13          -0.092          -0.096       -1.015839     0.025703336   -0.0093661587     -0.80401957
           0.13          -0.092            -0.1               0               0               0     -0.80374086
           0.13          -0.088          -0.096      -1.0131389     0.033600472   -0.0059929545     -0.80445354
           0.13          -0.088            -0.1               0               0               0     -0.80419801
           0.13          -0.084          -0.096     -0.98265032     0.037581838   -0.0026157141     -0.80498806
           0.13          -0.084            -0.1               0               0               0     -0.80478034
           0.13           -0.08          -0.096     -0.93690738       0.0388647   0.00010130725      -0.8056808
           0.13           -0.08            -0.1               0               0               0     -0.80551554
           0.13          -0.076          -0.096     -0.88009562      0.03798094    0.0019520794     -0.80643094
           0.13          -0.076            -0.1               0               0               0     -0.80627983
           0.13          -0.072          -0.096     -0.81466493      0.03579022    0.0029012191     -0.80719011
           0.13          -0.072            -0.1               0               0               0     -0.80701397
           0.13          -0.068          -0.096     -0.74426847     0.033085784    0.0030204296     -0.80785379
           0.13          -0.068            -0.1               0               0               0     -0.80761776
           0.13          -0.064          -0.096     -0.67347857     0.030545831    0.0022730783     -0.80832312
           0.13          -0.064            -0.1               0               0               0     -0.80799088
           0.13           -0.06          -0.096     -0.60653158     0.028628276    0.0005395706     -0.80850639
           0.13           -0.06            -0.1               0               0               0     -0.80803494
           0.13          -0.056          -0.096     -0.54596484     0.027518708   -0.0013361328     -0.80834569
           0.13          -0.056            -0.1               0               0               0     -0.80771799
           0.13          -0.052          -0.096     -0.49288566     0.027129183   -0.0026826205     -0.80787466
           0.13          -0.052            -0.1               0               0               0     -0.80712857
           0.13          -0.048          -0.096     -0.44691916     0.026948368   -0.0030019726     -0.80721481
           0.13          -0.048            -0.1               0               0               0     -0.80644645
           0.13          -0.044          -0.096     -0.40725579     0.026285943   -0.0017497183     -0.80653817
           0.13          -0.044            -0.1               0               0               0      -0.8058635
           0.13           -0.04          -0.096     -0.37304671     0.024607364    0.0017933951     -0.80602918
           0.13           -0.04            -0.1               0               0               0     -0.80557463
           0.13          -0.036          -0.096     -0.34267678     0.021870259    0.0061346073      -0.8058937
           0.13          -0.036            -0.1               0               0               0     -0.80573744
           0.13          -0.032          -0.096     -0.31290441     0.018728328    0.0091618291     -0.80637494
           0.13          -0.032            -0.1               0               0               0     -0.80644174
           0.13          -0.028          -0.096     -0.27855444     0.016531511     0.010455409     -0.80765755
           0.13          -0.028            -0.1               0               0               0     -0.80781572
           0.13          -0.024          -0.096     -0.23314867     0.017145803     0.010169697      -0.8097014
