#       point_x         point_y         point_z             U_x             U_y             U_z               p
           0.35          -0.096          -0.096      0.20793634     -0.18561029     -0.20960001               0
           0.35            -0.1          -0.096      0.13125941    -0.080665484      -0.1016846     0.036030613
           0.35            -0.1            -0.1      0.10378808    -0.049830266    -0.056503368      0.05318845
           0.35          -0.096            -0.1      0.13348227    -0.088654151     -0.08994606     0.036757451
           0.35          -0.092          -0.096       0.1283867     -0.23623516     -0.22167952               0
           0.35          -0.092            -0.1      0.10033211     -0.11671971     -0.09874538     0.032696769
           0.35          -0.088          -0.096     0.084995196     -0.27800764     -0.23250505               0
           0.35          -0.088            -0.1     0.080873961     -0.13890337     -0.10531772     0.031123162
           0.35          -0.084          -0.096     0.053973652     -0.30413298     -0.24205738               0
           0.35          -0.084            -0.1     0.065943519     -0.15205874     -0.11039391     0.030224138
           0.35           -0.08          -0.096     0.033389282     -0.32130781     -0.25042549               0
           0.35           -0.08            -0.1     0.055605909     -0.16020307     -0.11428997     0.029894135
           0.35          -0.076          -0.096     0.022448733     -0.33170619     -0.25863536               0
           0.35          -0.076            -0.1     0.050063453     -0.16475913     -0.11788375     0.029910907
           0.35          -0.072          -0.096     0.019223328     -0.33650573     -0.26695185               0
           0.35          -0.072            -0.1     0.048338512     -0.16650281     -0.12142274     0.030142084
           0.35          -0.068          -0.096     0.022241577     -0.33646494     -0.27531674               0
           0.35          -0.068            -0.1     0.049621474     -0.16590494     -0.12494706     0.030510109
           0.35          -0.064          -0.096     0.030345795     -0.33214867     -0.28356133               0
           0.35          -0.064            -0.1     0.053275783     -0.16328513     -0.12841444     0.030981312
           0.35           -0.06          -0.096     0.042657744     -0.32401774     -0.29153631               0
           0.35           -0.06            -0.1     0.058768732      -0.1588713     -0.13176704      0.03153941
           0.35          -0.056          -0.096     0.058120239      -0.3124428     -0.29913005               0
           0.35          -0.056            -0.1     0.065551957     -0.15283436     -0.13496387      0.03216409
           0.35          -0.052          -0.096     0.075398722     -0.29768829     -0.30621914               0
           0.35          -0.052            -0.1     0.073019504     -0.14530024     -0.13795104     0.032835022
           0.35          -0.048          -0.096     0.093260328     -0.27994604     -0.31270036               0
           0.35          -0.048            -0.1     0.080614218     -0.13635698     -0.14068885        0.033533
           0.35          -0.044          -0.096      0.11068341     -0.25939434     -0.31857079               0
           0.35          -0.044            -0.1     0.087932145     -0.12609564     -0.14317674     0.034216579
           0.35           -0.04          -0.096      0.12647356      -0.2362033     -0.32371271               0
           0.35           -0.04            -0.1     0.094255651     -0.11460135     -0.14529321     0.034845223
           0.35          -0.036          -0.096      0.14026098     -0.21052042     -0.32827134               0
           0.35          -0.036            -0.1     0.099421075     -0.10192872     -0.14712819     0.035372196
           0.35          -0.032          -0.096       0.1523603     -0.18256491     -0.33258204               0
           0.35          -0.032            -0.1      0.10385221    -0.088178246     -0.14893768     0.035739845
           0.35          -0.028          -0.096      0.16247305     -0.15261676     -0.33667247               0
           0.35          -0.028            -0.1       0.1074767    -0.073497417      -0.1507743      0.03590935
           0.35          -0.024          -0.096      0.17026109     -0.12096349     -0.34054068               0
           0.35          -0.024            -0.1      0.11013441    -0.058032242       -0.152646     0.035852483
           0.35           -0.02          -0.096      0.17553062    -0.087937953     -0.34417558               0
           0.35           -0.02            -0.1      0.11173064      -0.0419553     -0.15454154     0.035549792
           0.35          -0.016          -0.096      0.17831743    -0.054002342     -0.34743886               0
           0.35          -0.016            -0.1      0.11229291    -0.025554022     -0.15637723     0.035009985
           0.35          -0.012          -0.096      0.17923448    -0.019529347     -0.34986148               0
           0.35          -0.012            -0.1      0.11216286   -0.0091086631     -0.15781639      0.03437491
           0.35          -0.008          -0.096      0.17969333     0.015223072     -0.35060714               0
           0.35          -0.008            -0.1      0.11216361     0.007285109     -0.15818926     0.034111894
           0.35          -0.004          -0.096      0.18009897      0.04965306     -0.34960686               0
           0.35          -0.004            -0.1      0.11256914     0.023546637     -0.15740264     0.034452011
           0.35               0          -0.096       0.1790401     0.083780149     -0.34776975               0
           0.35               0            -0.1      0.11255905     0.039872325     -0.15615158     0.034936563
           0.35           0.004          -0.096      0.17563801      0.11752079     -0.34572483               0
           0.35           0.004            -0.1       0.1115854     0.056166017     -0.15490149     0.035227364
           0.35           0.008          -0.096      0.17002723      0.15022345     -0.34363907               0
           0.35           0.008            -0.1      0.10970158     0.071994122     -0.15375009     0.035341838
           0.35           0.012          -0.096      0.16239207      0.18168242     -0.34155966               0
           0.35           0.012            -0.1      0.10699953     0.087247385     -0.15271938     0.035293537
           0.35           0.016          -0.096      0.15294379      0.21169605     -0.33947151               0
           0.35           0.016            -0.1      0.10358689      0.10182577     -0.15179738     0.035100397
           0.35            0.02          -0.096      0.14164299      0.24009136     -0.33721493               0
           0.35            0.02            -0.1     0.099313002      0.11564062     -0.15082927     0.034794367
           0.35           0.024          -0.096      0.12825868      0.26679293     -0.33458141               0
           0.35           0.024            -0.1     0.093833195      0.12866827     -0.14961798     0.034412823
           0.35           0.028          -0.096      0.11298106      0.29175182     -0.33150018               0
           0.35           0.028            -0.1     0.087328324      0.14089683     -0.14818619     0.033977893
           0.35           0.032          -0.096     0.096202435      0.31487502     -0.32789619               0
           0.35           0.032            -0.1       0.0801484      0.15227327     -0.14656437      0.03351314
           0.35           0.036          -0.096     0.078224965      0.33609069     -0.32363825               0
           0.35           0.036            -0.1     0.072390116      0.16276278     -0.14468447     0.033046959
           0.35            0.04          -0.096     0.059599703      0.35534036     -0.31870988               0
           0.35            0.04            -0.1     0.064309041      0.17234075     -0.14254874     0.032589401
           0.35           0.044          -0.096     0.041061253      0.37254712     -0.31308766               0
           0.35           0.044            -0.1     0.056220666      0.18096686     -0.14014945     0.032155516
           0.35           0.048          -0.096     0.023537623      0.38762914     -0.30674286               0
           0.35           0.048            -0.1     0.048439332       0.1886046      -0.1374551     0.031748505
           0.35           0.052          -0.096    0.0076785353      0.40043287     -0.29972609               0
           0.35           0.052            -0.1     0.041283099      0.19519548     -0.13448586      0.03136025
           0.35           0.056          -0.096    -0.006096275      0.41073647     -0.29209356               0
           0.35           0.056            -0.1     0.035031391      0.20064731     -0.13127371     0.030992724
           0.35            0.06          -0.096    -0.017164763      0.41827464     -0.28394053               0
           0.35            0.06            -0.1     0.029981108      0.20484079     -0.12785602     0.030640604
           0.35           0.064          -0.096    -0.024888058      0.42271746     -0.27538979               0
           0.35           0.064            -0.1     0.026443769      0.20762156     -0.12428929     0.030305054
           0.35           0.068          -0.096    -0.028474824      0.42365323      -0.2665731               0
           0.35           0.068            -0.1      0.02480095      0.20878929     -0.12062722     0.030002173
           0.35           0.072          -0.096    -0.026943475      0.42055694     -0.25761679               0
           0.35           0.072            -0.1     0.025543527      0.20808069     -0.11691533     0.029760687
           0.35           0.076          -0.096    -0.019012419      0.41275611     -0.24864738               0
           0.35           0.076            -0.1     0.029345104       0.2051367     -0.11318727     0.029627846
           0.35            0.08          -0.096   -0.0028500915      0.39934166     -0.23978654               0
           0.35            0.08            -0.1     0.037240488       0.1994156     -0.10944912     0.029691558
           0.35           0.084          -0.096     0.024605186       0.3787612     -0.23080518               0
           0.35           0.084            -0.1     0.050875644      0.18991854     -0.10550387     0.030151656
           0.35           0.088          -0.096     0.067184403       0.3476395     -0.22048086               0
           0.35           0.088            -0.1     0.071794754      0.17456996     -0.10044416     0.031424793
           0.35           0.092          -0.096      0.12705221      0.29616125     -0.20741493               0
           0.35           0.092            -0.1     0.099256246      0.14748835    -0.093137997     0.033953805
           0.35           0.096          -0.096      0.22443324      0.22959505     -0.19035254               0
           0.35           0.096            -0.1      0.14047112      0.11107421    -0.082418259     0.040149818
           0.35             0.1            -0.1      0.11114604     0.061530983     -0.05070223     0.059662402
           0.35             0.1          -0.096      0.14394807     0.098002134    -0.090441661     0.041461723
           0.35          -0.096          -0.092       0.1188634     -0.20071578     -0.26969128               0
           0.35            -0.1          -0.092        0.093368    -0.090515354     -0.13488999     0.030960244
           0.35          -0.092          -0.092     0.024164701     -0.24396082     -0.27306555               0
           0.35          -0.088          -0.092    -0.020316281     -0.28196736     -0.28025801               0
           0.35          -0.084          -0.092    -0.049210116      -0.3072666     -0.28894839               0
           0.35           -0.08          -0.092    -0.067307207     -0.32528424     -0.29859845               0
           0.35          -0.076          -0.092     -0.07635196     -0.33730464     -0.30909037               0
           0.35          -0.072          -0.092    -0.077685975     -0.34388059     -0.32006334               0
           0.35          -0.068          -0.092     -0.07236581     -0.34545338     -0.33115397               0
           0.35          -0.064          -0.092    -0.061389362     -0.34245767     -0.34207947               0
           0.35           -0.06          -0.092    -0.045598657     -0.33532063     -0.35265186               0
           0.35          -0.056          -0.092    -0.026036294     -0.32442538     -0.36272695               0
           0.35          -0.052          -0.092   -0.0039309293     -0.31007411     -0.37217275               0
           0.35          -0.048          -0.092     0.019298714     -0.29247988     -0.38086517               0
           0.35          -0.044          -0.092     0.042236332     -0.27179833     -0.38879276               0
           0.35           -0.04          -0.092     0.063981232     -0.24819984     -0.39601191               0
           0.35          -0.036          -0.092     0.083985928     -0.22187973     -0.40259059               0
           0.35          -0.032          -0.092      0.10181129     -0.19307656     -0.40857723               0
           0.35          -0.028          -0.092      0.11696683     -0.16204336     -0.41390658               0
           0.35          -0.024          -0.092      0.12908875     -0.12904878     -0.41851681               0
           0.35           -0.02          -0.092      0.13797657    -0.094415461     -0.42236861               0
           0.35          -0.016          -0.092      0.14364162    -0.058498738     -0.42537855               0
           0.35          -0.012          -0.092      0.14660525    -0.021494267      -0.4273901               0
           0.35          -0.008          -0.092      0.14797043     0.016249437     -0.42826728               0
           0.35          -0.004          -0.092      0.14795885      0.05364294     -0.42811793               0
           0.35               0          -0.092      0.14546549     0.090258906      -0.4271978               0
           0.35           0.004          -0.092      0.13990817      0.12608806     -0.42569083               0
           0.35           0.008          -0.092      0.13147164      0.16069421     -0.42370254               0
           0.35           0.012          -0.092      0.12034414      0.19387229        -0.42128               0
