#             x               y               z             U_x             U_y             U_z               p
           0.35          -0.094          -0.006     -0.17102416    -0.010958845   -0.0026761029     -0.13657132
           0.35          -0.094          -0.002     -0.17189076    -0.010833123     0.006380982     -0.13672697
           0.35          -0.094           0.002     -0.17608181    -0.010474174      0.01514281     -0.13712514
           0.35          -0.094           0.006     -0.18344179   -0.0099710925     0.023316863     -0.13767229
           0.35          -0.094            0.01     -0.19373423   -0.0092333449     0.030724401     -0.13831534
           0.35          -0.094           0.014     -0.20659069   -0.0083921741     0.037219382     -0.13906145
           0.35          -0.094           0.018       -0.221555   -0.0075919101     0.042673089     -0.13987482
           0.35          -0.094           0.022     -0.23811841   -0.0069747748     0.047039293     -0.14072562
           0.35          -0.094           0.026     -0.25580376    -0.006668931      0.05033596     -0.14158291
           0.35          -0.094            0.03     -0.27418586   -0.0067924658      0.05265047     -0.14239416
           0.35          -0.094           0.034     -0.29291351   -0.0072767544     0.054179435     -0.14309875
           0.35          -0.094           0.038     -0.31162666    -0.008171774     0.055060126     -0.14366608
           0.35          -0.094           0.042     -0.33006294   -0.0095009617     0.055562082     -0.14404071
           0.35          -0.094           0.046     -0.34779948     -0.01114325     0.055814365     -0.14426332
           0.35          -0.094            0.05     -0.36489355    -0.013129483     0.055929449     -0.14426917
           0.35          -0.094           0.054     -0.38132487    -0.015233567     0.056006036     -0.14401307
           0.35          -0.094           0.058     -0.39692157    -0.017305156     0.056057794     -0.14351267
           0.35          -0.094           0.062      -0.4114191    -0.019178477     0.055965094     -0.14279914
           0.35          -0.094           0.066     -0.42448616    -0.020657817     0.055523046     -0.14188716
           0.35          -0.094            0.07     -0.43569386    -0.021542113     0.054471042     -0.14080437
           0.35          -0.094           0.074     -0.44447454    -0.021654826     0.052490417     -0.13959545
           0.35          -0.094           0.078     -0.45013946    -0.020890992     0.049124457     -0.13835244
           0.35          -0.094           0.082     -0.45199759    -0.019209755     0.043933855     -0.13712656
           0.35          -0.094           0.086     -0.44976356     -0.01697353     0.036386063     -0.13607552
           0.35          -0.094            0.09     -0.44411791    -0.014583447     0.026723737      -0.1352042
           0.35          -0.094           0.094     -0.43476267     -0.01325736     0.015640386     -0.13452504
           0.35          -0.094           0.098      -0.3987671   -0.0097969969    0.0045158089     -0.13391883
           0.35           -0.09          -0.098      -0.4210569    -0.021652416   -0.0038513663     -0.13341581
           0.35           -0.09          -0.094     -0.45261063    -0.026001317    -0.015583376      -0.1347208
           0.35           -0.09           -0.09     -0.45273002    -0.027130626    -0.024175003     -0.13659219
           0.35           -0.09          -0.086     -0.44496427    -0.028198462      -0.0313525     -0.13823875
           0.35           -0.09          -0.082     -0.43258746     -0.02866388    -0.036803418     -0.13979341
           0.35           -0.09          -0.078     -0.41682522    -0.028360846    -0.040998594     -0.14120098
           0.35           -0.09          -0.074     -0.39859194    -0.027233986    -0.044289419     -0.14237569
           0.35           -0.09           -0.07     -0.37857775    -0.025405735    -0.046923984     -0.14327809
           0.35           -0.09          -0.066     -0.35730386    -0.023076105    -0.049088845      -0.1438868
           0.35           -0.09          -0.062     -0.33515291    -0.020491076    -0.050901895     -0.14421072
           0.35           -0.09          -0.058     -0.31240394    -0.017892933    -0.052416643     -0.14427052
           0.35           -0.09          -0.054     -0.28925164    -0.015502755    -0.053605137     -0.14409903
           0.35           -0.09           -0.05     -0.26583599     -0.01351774    -0.054377004     -0.14374463
           0.35           -0.09          -0.046     -0.24229761     -0.01209285      -0.0546106     -0.14326528
           0.35           -0.09          -0.042     -0.21888243    -0.011293315    -0.054147489     -0.14268268
           0.35           -0.09          -0.038     -0.19593673    -0.011105981    -0.052783924     -0.14200094
           0.35           -0.09          -0.034     -0.17389555     -0.01150045      -0.0503421     -0.14127763
           0.35           -0.09           -0.03     -0.15318249    -0.012383546    -0.046719496     -0.14057159
           0.35           -0.09          -0.026     -0.13428185    -0.013601261    -0.041885615     -0.13991962
           0.35           -0.09          -0.022     -0.11770128    -0.014951776    -0.035889828     -0.13934332
           0.35           -0.09          -0.018     -0.10394763    -0.016234106    -0.028841887     -0.13885933
           0.35           -0.09          -0.014    -0.093478333    -0.017260691     -0.02089007     -0.13848396
           0.35           -0.09           -0.01    -0.086653395    -0.017905238    -0.012235042     -0.13825169
           0.35           -0.09          -0.006    -0.083710965    -0.018126245     -0.00316317     -0.13821052
           0.35           -0.09          -0.002    -0.084750221    -0.017913609    0.0059912105     -0.13836185
           0.35           -0.09           0.002    -0.089708785    -0.017310246     0.014884543     -0.13871113
           0.35           -0.09           0.006    -0.098384818    -0.016359246     0.023209121     -0.13923732
           0.35           -0.09            0.01     -0.11046895    -0.015135767     0.030758049     -0.13987481
           0.35           -0.09           0.014     -0.12554145    -0.013796017     0.037396119     -0.14061041
           0.35           -0.09           0.018     -0.14309998    -0.012522718     0.043016499     -0.14141974
           0.35           -0.09           0.022     -0.16260608    -0.011506882     0.047577666     -0.14227778
           0.35           -0.09           0.026      -0.1835416    -0.010911486     0.051094867      -0.1431614
           0.35           -0.09            0.03     -0.20544071    -0.010855341      0.05362465      -0.1440438
           0.35           -0.09           0.034     -0.22789121    -0.011392769     0.055292748     -0.14485972
           0.35           -0.09           0.038     -0.25056394    -0.012517786     0.056259178     -0.14558151
           0.35           -0.09           0.042     -0.27320421    -0.014211026     0.056689583      -0.1461714
           0.35           -0.09           0.046     -0.29550469    -0.016371118     0.056734029     -0.14657746
           0.35           -0.09            0.05     -0.31726129     -0.01891733     0.056515354     -0.14682276
           0.35           -0.09           0.054     -0.33840637    -0.021663707     0.056090175     -0.14683317
           0.35           -0.09           0.058     -0.35884821    -0.024415056     0.055490256     -0.14658365
           0.35           -0.09           0.062     -0.37841359    -0.026966918     0.054668896     -0.14606353
           0.35           -0.09           0.066     -0.39684011    -0.029100696     0.053515194     -0.14526654
           0.35           -0.09            0.07     -0.41375884    -0.030605969     0.051865007     -0.14420198
           0.35           -0.09           0.074     -0.42866188    -0.031302752     0.049499946     -0.14289708
           0.35           -0.09           0.078     -0.44087833    -0.031078983     0.046122198     -0.14141573
           0.35           -0.09           0.082     -0.44957851    -0.029895458       0.0413893     -0.13983006
           0.35           -0.09           0.086     -0.45383463    -0.027993224      0.03486397     -0.13828202
           0.35           -0.09            0.09       -0.452859    -0.025762243     0.026191311     -0.13682814
           0.35           -0.09           0.094     -0.44451101    -0.024032724     0.015890079     -0.13537674
           0.35           -0.09           0.098     -0.40842543    -0.020084362    0.0037102862     -0.13440215
           0.35          -0.086          -0.098     -0.42880464    -0.031313595   -0.0048876749     -0.13455245
           0.35          -0.086          -0.094     -0.45216695    -0.035489475    -0.015715679     -0.13620071
           0.35          -0.086           -0.09     -0.44468599    -0.036174447    -0.023395294     -0.13849755
           0.35          -0.086          -0.086      -0.4303907    -0.036555858    -0.029964794     -0.14038297
           0.35          -0.086          -0.082     -0.41222163    -0.036387894     -0.03515755     -0.14208501
           0.35          -0.086          -0.078     -0.39122111    -0.035485204    -0.039422918     -0.14354694
           0.35          -0.086          -0.074     -0.36812469    -0.033800363    -0.043004467     -0.14471778
           0.35          -0.086           -0.07     -0.34348565    -0.031442081     -0.04607148     -0.14556954
           0.35          -0.086          -0.066     -0.31773209    -0.028611232    -0.048734095      -0.1460935
           0.35          -0.086          -0.062     -0.29118604    -0.025560994    -0.051043671     -0.14630731
           0.35          -0.086          -0.058     -0.26408643    -0.022558533     -0.05299961     -0.14624315
           0.35          -0.086          -0.054      -0.2366152    -0.019859324    -0.054546518     -0.14594429
           0.35          -0.086           -0.05     -0.20893384     -0.01768658    -0.055587472     -0.14546524
           0.35          -0.086          -0.046     -0.18123997    -0.016201898    -0.055998902     -0.14485935
           0.35          -0.086          -0.042     -0.15381831     -0.01547346    -0.055622687     -0.14415251
           0.35          -0.086          -0.038     -0.12702614    -0.015494568    -0.054278071     -0.14337007
           0.35          -0.086          -0.034     -0.10129487    -0.016211937    -0.051810958     -0.14256173
           0.35          -0.086           -0.03    -0.077118488    -0.017498685    -0.048128088     -0.14177751
           0.35          -0.086          -0.026    -0.055060898    -0.019158007    -0.043202297     -0.14105183
