#             x               y               z             U_x             U_y             U_z               p
           0.13          -0.098          -0.098     0.049138827  -0.00045218586    0.0033539185     -0.35009032
           0.13          -0.098          -0.094    -0.083723058     0.011795239     0.025748692     -0.34940744
           0.13          -0.098           -0.09     -0.30999145     0.031211525     0.079187737     -0.35082116
           0.13          -0.098          -0.086     -0.43887627     0.027592959     0.095427794     -0.35789998
           0.13          -0.098          -0.082     -0.46877138     0.019696253     0.093362086     -0.36557063
           0.13          -0.098          -0.078     -0.46975955     0.015744632     0.086789101     -0.37202628
           0.13          -0.098          -0.074     -0.46019117     0.013678311     0.080405238     -0.37754992
           0.13          -0.098           -0.07     -0.44448198     0.012503677     0.074290807     -0.38221798
           0.13          -0.098          -0.066     -0.42448623      0.01198782      0.06820467     -0.38619658
           0.13          -0.098          -0.062     -0.40124592     0.012020398     0.061840566      -0.3896835
           0.13          -0.098          -0.058     -0.37529158     0.012487178     0.054807079     -0.39288482
           0.13          -0.098          -0.054     -0.34692037     0.013049372      0.04696065     -0.39598472
           0.13          -0.098           -0.05     -0.31600104     0.013077652     0.038837899     -0.39909554
           0.13          -0.098          -0.046     -0.27997385     0.012149438     0.030013189     -0.40262802
           0.13          -0.098          -0.042     -0.24469679     0.011940213     0.025041725       -0.406666
           0.13          -0.098          -0.038     -0.22713733     0.010704898     0.024492205     -0.41133436
           0.13          -0.098          -0.034     -0.23082414    0.0075739051     0.034976857     -0.41790221
           0.13          -0.098           -0.03     -0.22825576     0.017350661     0.041810743      -0.4282568
           0.13          -0.098          -0.026     -0.16629298     0.030659652  -0.00025311799     -0.44319039
           0.13          -0.098          -0.022    -0.014138808     0.042244289   0.00010279709     -0.44965001
           0.13          -0.098          -0.018      0.14885069      0.03437527     0.028039627      -0.4460713
           0.13          -0.098          -0.014      0.26113815     0.033631786    -0.017441898      -0.4254422
           0.13          -0.098           -0.01      0.23350356     0.028647738    -0.046285201      -0.4057008
           0.13          -0.098          -0.006      0.18049542     0.019803049     -0.03842671     -0.39506334
           0.13          -0.098          -0.002      0.12424777     0.014820482    -0.033052853     -0.39036265
           0.13          -0.098           0.002       0.1034791     0.013932618    -0.026321843     -0.38802432
           0.13          -0.098           0.006       0.1009155     0.015293787    -0.018890669     -0.38554715
           0.13          -0.098            0.01     0.084623216     0.015529413   -0.0082382334     -0.38316237
           0.13          -0.098           0.014     0.049765007     0.010434875   0.00010379091     -0.38147778
           0.13          -0.098           0.018    0.0085332177    -0.012796071   -0.0046439113     -0.38057603
           0.13          -0.098           0.022   -0.0076509198     -0.03245155    0.0014869073     -0.37969925
           0.13          -0.098           0.026    -0.032550214    -0.036758175     0.016062782     -0.37894892
           0.13          -0.098            0.03    -0.057220588    -0.023101779     0.027609333     -0.37960689
           0.13          -0.098           0.034    -0.089133095    -0.003739067     0.024133407     -0.38019816
           0.13          -0.098           0.038     -0.14972135    0.0086920955     0.020504215     -0.38037445
           0.13          -0.098           0.042     -0.21294592     0.012302772     0.013506923     -0.38067448
           0.13          -0.098           0.046     -0.26845424     0.012826004    0.0030717811     -0.38096028
           0.13          -0.098            0.05     -0.31626114     0.012761769   -0.0091470699     -0.38113317
           0.13          -0.098           0.054     -0.35478366     0.012778362    -0.021752764     -0.38087298
           0.13          -0.098           0.058     -0.38778865     0.012570327    -0.033333928     -0.38014854
           0.13          -0.098           0.062     -0.41589812       0.0124338    -0.043743852     -0.37880705
           0.13          -0.098           0.066     -0.43929459     0.012660294    -0.053215239      -0.3767251
           0.13          -0.098            0.07      -0.4577721     0.013361666    -0.062015782     -0.37381924
           0.13          -0.098           0.074      -0.4704161     0.014826636    -0.070474043     -0.37004028
           0.13          -0.098           0.078     -0.47500504     0.017529237    -0.078844708     -0.36537037
